FY,Area,Legend,Rate
2019/2020,16733,HIGH SCHOOLS,0.0549
2019/2020,16733,SPECIAL WATER,0.0706
2019/2020,16734,COMMNTY COLLEGE,0.0478
2019/2020,16734,COUNTY,0.0000
2019/2020,16734,GENERAL,1.0000
2019/2020,16734,METRO WATER DIST,0.0035
2019/2020,16734,UNIFIED SCHOOLS,0.1352
2019/2020,16736,CITY-SANTA CLARI,0.0000
2019/2020,16736,COMMNTY COLLEGE,0.0295
2019/2020,16736,COUNTY,0.0000
2019/2020,16736,ELEM SCHOOLS,0.0071
2019/2020,16736,GENERAL,1.0000
2019/2020,16736,HIGH SCHOOLS,0.0549
2019/2020,16736,SPECIAL WATER,0.0706
2019/2020,16737,CITY-ROLL HLS ES,0.0000
2019/2020,16737,COMMNTY COLLEGE,0.0272
2019/2020,16737,COUNTY,0.0000
2019/2020,16737,GENERAL,1.0000
2019/2020,16737,METRO WATER DIST,0.0035
2019/2020,16737,UNIFIED SCHOOLS,0.0236
2019/2020,16738,COMMNTY COLLEGE,0.0272
2019/2020,16738,COUNTY,0.0000
2019/2020,16738,GENERAL,1.0000
2019/2020,16738,METRO WATER DIST,0.0035
2019/2020,16738,UNIFIED SCHOOLS,0.1255
2019/2020,16739,COMMNTY COLLEGE,0.0272
2019/2020,16739,COUNTY,0.0000
2019/2020,16739,GENERAL,1.0000
2019/2020,16739,METRO WATER DIST,0.0035
2019/2020,16739,UNIFIED SCHOOLS,0.1255
2019/2020,01674,CITY-RANCHO P V,0.0000
2019/2020,01674,COMMNTY COLLEGE,0.0272
2019/2020,01674,COUNTY,0.0000
2019/2020,01674,GENERAL,1.0000
2019/2020,01674,METRO WATER DIST,0.0035
2019/2020,01674,UNIFIED SCHOOLS,0.1255
2019/2020,16740,COMMNTY COLLEGE,0.0272
2019/2020,16740,COUNTY,0.0000
2019/2020,16740,GENERAL,1.0000
2019/2020,16740,METRO WATER DIST,0.0035
2019/2020,16740,UNIFIED SCHOOLS,0.0236
2019/2020,16741,CITY-RANCHO P V,0.0000
2019/2020,16741,COMMNTY COLLEGE,0.0272
2019/2020,16741,COUNTY,0.0000
2019/2020,16741,GENERAL,1.0000
2019/2020,16741,METRO WATER DIST,0.0035
2019/2020,16741,UNIFIED SCHOOLS,0.0236
2019/2020,16742,COMMNTY COLLEGE,0.0257
2019/2020,16742,COUNTY,0.0000
2019/2020,16742,ELEM SCHOOLS,0.0353
2019/2020,16742,GENERAL,1.0000
2019/2020,16742,HIGH SCHOOLS,0.0550
2019/2020,16742,METRO WATER DIST,0.0035
2019/2020,16743,COMMNTY COLLEGE,0.0469
2019/2020,16743,COUNTY,0.0000
2019/2020,16743,GENERAL,1.0000
2019/2020,16743,METRO WATER DIST,0.0035
2019/2020,16743,UNIFIED SCHOOLS,0.1113
2019/2020,16744,CITY-SAN DIMAS C,0.0000
2019/2020,16744,COMMNTY COLLEGE,0.0217
2019/2020,16744,COUNTY,0.0000
2019/2020,16744,GENERAL,1.0000
2019/2020,16744,METRO WATER DIST,0.0035
2019/2020,16744,UNIFIED SCHOOLS,0.0623
2019/2020,16745,CITY-SAN DIMAS,0.0000
2019/2020,16745,COMMNTY COLLEGE,0.0478
2019/2020,16745,COUNTY,0.0000
2019/2020,16745,GENERAL,1.0000
2019/2020,16745,METRO WATER DIST,0.0035
2019/2020,16745,UNIFIED SCHOOLS,0.0787
2019/2020,16746,CITY-GLENDORA,0.0000
2019/2020,16746,COMMNTY COLLEGE,0.0217
2019/2020,16746,COUNTY,0.0000
2019/2020,16746,GENERAL,1.0000
2019/2020,16746,METRO WATER DIST,0.0035
2019/2020,16746,UNIFIED SCHOOLS,0.0623
2019/2020,16747,COMMNTY COLLEGE,0.0272
2019/2020,01817,COMMNTY COLLEGE,0.0272
2019/2020,01817,COUNTY,0.0000
2019/2020,01817,GENERAL,1.0000
2019/2020,01817,MUNICIPAL WATER,0.0300
2019/2020,01817,UNIFIED SCHOOLS,0.0790
2019/2020,00182,COMMNTY COLLEGE,0.0272
2019/2020,00182,COUNTY,0.0000
2019/2020,00182,GENERAL,1.0000
2019/2020,00182,METRO WATER DIST,0.0035
2019/2020,00182,UNIFIED SCHOOLS,0.1255
2019/2020,01820,CITY-ALHAMBRA,0.0000
2019/2020,01820,COMMNTY COLLEGE,0.0272
2019/2020,01820,COUNTY,0.0000
2019/2020,01820,GENERAL,1.0000
2019/2020,01820,MUNICIPAL WATER,0.0300
2019/2020,01820,UNIFIED SCHOOLS,0.0790
2019/2020,01822,CITY-ALHAMBRA,0.0000
2019/2020,01822,COMMNTY COLLEGE,0.0272
2019/2020,01822,COUNTY,0.0000
2019/2020,01822,GENERAL,1.0000
2019/2020,01822,MUNICIPAL WATER,0.0300
2019/2020,01822,UNIFIED SCHOOLS,0.0790
2019/2020,01823,CITY-ALHAMBRA,0.0000
2019/2020,01823,COMMNTY COLLEGE,0.0272
2019/2020,01823,COUNTY,0.0000
2019/2020,01823,GENERAL,1.0000
2019/2020,01823,METRO WATER DIST,0.0033
2019/2020,01823,MUNICIPAL WATER,0.0223
2019/2020,01823,UNIFIED SCHOOLS,0.0790
2019/2020,01824,COMMNTY COLLEGE,0.0478
2019/2020,01824,COUNTY,0.0000
2019/2020,01824,GENERAL,1.0000
2019/2020,01824,METRO WATER DIST,0.0035
2019/2020,01824,UNIFIED SCHOOLS,0.0825
2019/2020,01825,CITY-LA HABRA HT,0.0000
2019/2020,01825,COMMNTY COLLEGE,0.0241
2019/2020,01825,COUNTY,0.0000
2019/2020,01825,ELEM SCHOOLS,0.0290
2019/2020,01825,GENERAL,1.0000
2019/2020,01825,HIGH SCHOOLS,0.0278
2019/2020,01825,METRO WATER DIST,0.0035
2019/2020,01826,CITY CARSON,0.0000
2019/2020,01826,COMMNTY COLLEGE,0.0272
2019/2020,01826,COUNTY,0.0000
2019/2020,01826,GENERAL,1.0000
2019/2020,01826,METRO WATER DIST,0.0035
2019/2020,01826,UNIFIED SCHOOLS,0.1255
2019/2020,01827,CITY-CARSON RP A,0.0000
2019/2020,01827,COMMNTY COLLEGE,0.0272
2019/2020,01827,COUNTY,0.0000
2019/2020,01827,GENERAL,1.0000
2019/2020,01827,METRO WATER DIST,0.0035
2019/2020,01827,UNIFIED SCHOOLS,0.1255
2019/2020,01828,CITY-PICO RIVERA,0.0000
2019/2020,01828,COMMNTY COLLEGE,0.0257
2019/2020,01828,COUNTY,0.0000
2019/2020,01828,ELEM SCHOOLS,0.0510
2019/2020,01828,GENERAL,1.0000
2019/2020,01828,HIGH SCHOOLS,0.0550
2019/2020,01828,METRO WATER DIST,0.0035
2019/2020,00183,COMMNTY COLLEGE,0.0272
2019/2020,00183,COUNTY,0.0000
2019/2020,00183,GENERAL,1.0000
2019/2020,00183,METRO WATER DIST,0.0035
2019/2020,00183,UNIFIED SCHOOLS,0.1255
2019/2020,01830,COMMNTY COLLEGE,0.0478
2019/2020,01830,COUNTY,0.0000
2019/2020,01830,GENERAL,1.0000
2019/2020,01830,METRO WATER DIST,0.0035
2019/2020,01830,UNIFIED SCHOOLS,0.0825
2019/2020,01831,COMMNTY COLLEGE,0.0257
2019/2020,01831,COUNTY,0.0000
2019/2020,01831,ELEM SCHOOLS,0.0843
2019/2020,01831,GENERAL,1.0000
2019/2020,01831,HIGH SCHOOLS,0.0550
2019/2020,01831,METRO WATER DIST,0.0035
2019/2020,01832,CITY-MONTEREY PK,0.0912
2019/2020,01832,COMMNTY COLLEGE,0.0272
2019/2020,01832,COUNTY,0.0000
2019/2020,01832,GENERAL,1.0000
2019/2020,01832,METRO WATER DIST,0.0035
2019/2020,01832,MUNICIPAL WATER,0.0300
2019/2020,01832,UNIFIED SCHOOLS,0.0790
2019/2020,01833,CITY-ALHAMBRA,0.0000
2019/2020,01833,COMMNTY COLLEGE,0.0272
2019/2020,01833,COUNTY,0.0000
2019/2020,01833,GENERAL,1.0000
2019/2020,01833,MUNICIPAL WATER,0.0300
2019/2020,01833,UNIFIED SCHOOLS,0.0790
2019/2020,01834,CITY-MONTEREY PK,0.0912
2019/2020,01834,COMMNTY COLLEGE,0.0272
2019/2020,01834,COUNTY,0.0000
2019/2020,01834,GENERAL,1.0000
2019/2020,01834,MUNICIPAL WATER,0.0300
2019/2020,01834,UNIFIED SCHOOLS,0.0790
2019/2020,01836,CITY-MONTEREY PK,0.0912
2019/2020,01836,COMMNTY COLLEGE,0.0272
2019/2020,01836,COUNTY,0.0000
2019/2020,01836,GENERAL,1.0000
2019/2020,01836,MUNICIPAL WATER,0.0300
2019/2020,02032,UNIFIED SCHOOLS,0.1142
2019/2020,02033,CITY-AZUSA,0.0000
2019/2020,02033,COMMNTY COLLEGE,0.0217
2019/2020,02033,COUNTY,0.0000
2019/2020,02033,GENERAL,1.0000
2019/2020,02033,MUNICIPAL WATER,0.0300
2019/2020,02033,UNIFIED SCHOOLS,0.1142
2019/2020,02034,CITY-COVINA,0.0000
2019/2020,02034,COMMNTY COLLEGE,0.0217
2019/2020,02034,COUNTY,0.0000
2019/2020,02034,GENERAL,1.0000
2019/2020,02034,METRO WATER DIST,0.0035
2019/2020,02034,UNIFIED SCHOOLS,0.1142
2019/2020,02035,CITY-COVINA,0.0000
2019/2020,02035,COMMNTY COLLEGE,0.0217
2019/2020,02035,COUNTY,0.0000
2019/2020,02035,GENERAL,1.0000
2019/2020,02035,METRO WATER DIST,0.0035
2019/2020,02035,UNIFIED SCHOOLS,0.1142
2019/2020,02036,CITY-PALMDALE,0.0000
2019/2020,02036,COMMNTY COLLEGE,0.0472
2019/2020,02036,COUNTY,0.0000
2019/2020,02036,ELEM SCHOOLS,0.0751
2019/2020,02036,GENERAL,1.0000
2019/2020,02036,HIGH SCHOOLS,0.0219
2019/2020,02036,SPECIAL WATER,0.0705
2019/2020,02037,COMMNTY COLLEGE,0.0217
2019/2020,02037,COUNTY,0.0000
2019/2020,02037,GENERAL,1.0000
2019/2020,02037,METRO WATER DIST,0.0035
2019/2020,02037,UNIFIED SCHOOLS,0.1142
2019/2020,02038,COMMNTY COLLEGE,0.0217
2019/2020,02038,COUNTY,0.0000
2019/2020,02038,GENERAL,1.0000
2019/2020,02038,METRO WATER DIST,0.0035
2019/2020,02038,UNIFIED SCHOOLS,0.1142
2019/2020,02039,COMMNTY COLLEGE,0.0478
2019/2020,02039,COUNTY,0.0000
2019/2020,02039,GENERAL,1.0000
2019/2020,02039,METRO WATER DIST,0.0035
2019/2020,02039,UNIFIED SCHOOLS,0.0825
2019/2020,00204,CITY-L.A. WESTER,0.0181
2019/2020,00204,COMMNTY COLLEGE,0.0272
2019/2020,00204,COUNTY,0.0000
2019/2020,00204,GENERAL,1.0000
2019/2020,00204,METRO WATER DIST,0.0035
2019/2020,00204,UNIFIED SCHOOLS,0.1255
2019/2020,02040,COMMNTY COLLEGE,0.0217
2019/2020,02040,COUNTY,0.0000
2019/2020,02040,GENERAL,1.0000
2019/2020,02040,METRO WATER DIST,0.0035
2019/2020,02040,UNIFIED SCHOOLS,0.1142
2019/2020,02041,COMMNTY COLLEGE,0.0217
2019/2020,02041,COUNTY,0.0000
2019/2020,02041,GENERAL,1.0000
2019/2020,02041,METRO WATER DIST,0.0035
2019/2020,02041,UNIFIED SCHOOLS,0.1142
2019/2020,02042,COMMNTY COLLEGE,0.0217
2019/2020,02042,COUNTY,0.0000
2019/2020,02042,GENERAL,1.0000
2019/2020,02042,METRO WATER DIST,0.0035
2019/2020,02042,UNIFIED SCHOOLS,0.1142
2019/2020,02043,COMMNTY COLLEGE,0.0217
2019/2020,02043,COUNTY,0.0000
2019/2020,02043,GENERAL,1.0000
2019/2020,02043,METRO WATER DIST,0.0035
2019/2020,02043,UNIFIED SCHOOLS,0.1142
2019/2020,02044,COMMNTY COLLEGE,0.0217
2019/2020,02044,COUNTY,0.0000
2019/2020,02044,GENERAL,1.0000
2019/2020,02044,UNIFIED SCHOOLS,0.1142
2019/2020,02045,CITY-AZUSA,0.0000
2019/2020,02045,COMMNTY COLLEGE,0.0217
2019/2020,02045,COUNTY,0.0000
2019/2020,02045,GENERAL,1.0000
2019/2020,02045,MUNICIPAL WATER,0.0300
2019/2020,02045,UNIFIED SCHOOLS,0.1142
2019/2020,02046,CITY-AZUSA,0.0000
2019/2020,02046,COMMNTY COLLEGE,0.0217
2019/2020,02046,COUNTY,0.0000
2019/2020,02046,GENERAL,1.0000
2019/2020,02046,MUNICIPAL WATER,0.0300
2019/2020,02046,UNIFIED SCHOOLS,0.1142
2019/2020,02047,CITY-AZUSA,0.0000
2019/2020,02047,COMMNTY COLLEGE,0.0217
2019/2020,02047,COUNTY,0.0000
2019/2020,02047,GENERAL,1.0000
2019/2020,02047,MUNICIPAL WATER,0.0300
2019/2020,02047,UNIFIED SCHOOLS,0.1142
2019/2020,02048,CITY-AZUSA,0.0000
2019/2020,02048,COMMNTY COLLEGE,0.0217
2019/2020,02048,COUNTY,0.0000
2019/2020,02048,GENERAL,1.0000
2019/2020,02048,MUNICIPAL WATER,0.0300
2019/2020,02048,UNIFIED SCHOOLS,0.1142
2019/2020,02049,CITY-AZUSA,0.0000
2019/2020,02049,COMMNTY COLLEGE,0.0217
2019/2020,02049,COUNTY,0.0000
2019/2020,02049,GENERAL,1.0000
2019/2020,02049,MUNICIPAL WATER,0.0300
2019/2020,02049,UNIFIED SCHOOLS,0.1142
2019/2020,02238,ELEM SCHOOLS,0.1080
2019/2020,02238,GENERAL,1.0000
2019/2020,02238,HIGH SCHOOLS,0.1097
2019/2020,02238,METRO WATER DIST,0.0035
2019/2020,02239,COMMNTY COLLEGE,0.0478
2019/2020,02239,COUNTY,0.0000
2019/2020,02239,GENERAL,1.0000
2019/2020,02239,METRO WATER DIST,0.0035
2019/2020,02239,UNIFIED SCHOOLS,0.1420
2019/2020,00224,CITY-SANTA CLARI,0.0000
2019/2020,00224,COMMNTY COLLEGE,0.0295
2019/2020,00224,COUNTY,0.0000
2019/2020,00224,ELEM SCHOOLS,0.0388
2019/2020,00224,GENERAL,1.0000
2019/2020,00224,HIGH SCHOOLS,0.0549
2019/2020,00224,SPECIAL WATER,0.0706
2019/2020,02240,CITY-CLAREMONT,0.0085
2019/2020,02240,COMMNTY COLLEGE,0.0217
2019/2020,02240,COUNTY,0.0000
2019/2020,02240,GENERAL,1.0000
2019/2020,02240,METRO WATER DIST,0.0035
2019/2020,02240,UNIFIED SCHOOLS,0.0869
2019/2020,02241,CITY-PALMDALE,0.0000
2019/2020,02241,COMMNTY COLLEGE,0.0472
2019/2020,02241,COUNTY,0.0000
2019/2020,02241,ELEM SCHOOLS,0.0706
2019/2020,02241,GENERAL,1.0000
2019/2020,02241,HIGH SCHOOLS,0.0219
2019/2020,02241,SPECIAL WATER,0.0705
2019/2020,02243,CITY-LAKEWOOD,0.0000
2019/2020,02243,COMMNTY COLLEGE,0.0445
2019/2020,02243,COUNTY,0.0000
2019/2020,02243,GENERAL,1.0000
2019/2020,02243,METRO WATER DIST,0.0035
2019/2020,02243,UNIFIED SCHOOLS,0.0504
2019/2020,02244,CITY-BELLFLOWER,0.0000
2019/2020,02244,COMMNTY COLLEGE,0.0445
2019/2020,02244,COUNTY,0.0000
2019/2020,02244,GENERAL,1.0000
2019/2020,02244,METRO WATER DIST,0.0035
2019/2020,02244,UNIFIED SCHOOLS,0.0504
2019/2020,02245,CITY-LAKEWOOD,0.0000
2019/2020,02245,COMMNTY COLLEGE,0.0445
2019/2020,02245,COUNTY,0.0000
2019/2020,02245,GENERAL,1.0000
2019/2020,02245,METRO WATER DIST,0.0035
2019/2020,02245,UNIFIED SCHOOLS,0.0504
2019/2020,02246,CITY-LAKEWOOD,0.0000
2019/2020,02246,COMMNTY COLLEGE,0.0445
2019/2020,02246,COUNTY,0.0000
2019/2020,02246,GENERAL,1.0000
2019/2020,02246,METRO WATER DIST,0.0035
2019/2020,02246,UNIFIED SCHOOLS,0.0504
2019/2020,02247,CITY-BELLFLOWER,0.0000
2019/2020,02247,COMMNTY COLLEGE,0.0445
2019/2020,02247,COUNTY,0.0000
2019/2020,02247,GENERAL,1.0000
2019/2020,02247,METRO WATER DIST,0.0035
2019/2020,02247,UNIFIED SCHOOLS,0.0504
2019/2020,02248,CITY-BELLFLOWER,0.0000
2019/2020,02248,COMMNTY COLLEGE,0.0445
2019/2020,02248,COUNTY,0.0000
2019/2020,02248,GENERAL,1.0000
2019/2020,02248,METRO WATER DIST,0.0035
2019/2020,02248,UNIFIED SCHOOLS,0.0504
2019/2020,02249,CITY-BELLFLOWER,0.0000
2019/2020,02249,COMMNTY COLLEGE,0.0445
2019/2020,02249,COUNTY,0.0000
2019/2020,02249,GENERAL,1.0000
2019/2020,02249,METRO WATER DIST,0.0035
2019/2020,02249,UNIFIED SCHOOLS,0.0504
2019/2020,02250,CITY-BELLFLOWER,0.0000
2019/2020,02250,COMMNTY COLLEGE,0.0445
2019/2020,02250,COUNTY,0.0000
2019/2020,02250,GENERAL,1.0000
2019/2020,02250,METRO WATER DIST,0.0035
2019/2020,02250,UNIFIED SCHOOLS,0.0504
2019/2020,02251,CITY-BELLFLOWER,0.0000
2019/2020,02251,COMMNTY COLLEGE,0.0445
2019/2020,02251,COUNTY,0.0000
2019/2020,02251,GENERAL,1.0000
2019/2020,02251,METRO WATER DIST,0.0035
2019/2020,02251,UNIFIED SCHOOLS,0.0504
2019/2020,02252,CITY-BELLFLOWER,0.0000
2019/2020,02252,COMMNTY COLLEGE,0.0445
2019/2020,02252,COUNTY,0.0000
2019/2020,02252,GENERAL,1.0000
2019/2020,02252,METRO WATER DIST,0.0035
2019/2020,02252,UNIFIED SCHOOLS,0.0504
2019/2020,02253,CITY-BELLFLOWER,0.0000
2019/2020,02253,COMMNTY COLLEGE,0.0445
2019/2020,02253,COUNTY,0.0000
2019/2020,02253,GENERAL,1.0000
2019/2020,02253,METRO WATER DIST,0.0035
2019/2020,02253,UNIFIED SCHOOLS,0.0504
2019/2020,02254,CITY-BELLFLOWER,0.0000
2019/2020,02254,COMMNTY COLLEGE,0.0445
2019/2020,02254,COUNTY,0.0000
2019/2020,02254,GENERAL,1.0000
2019/2020,02254,METRO WATER DIST,0.0035
2019/2020,02452,UNIFIED SCHOOLS,0.1239
2019/2020,02455,COMMNTY COLLEGE,0.0272
2019/2020,02455,COUNTY,0.0000
2019/2020,02455,GENERAL,1.0000
2019/2020,02455,METRO WATER DIST,0.0035
2019/2020,02455,UNIFIED SCHOOLS,0.1239
2019/2020,02456,COMMNTY COLLEGE,0.0272
2019/2020,02456,COUNTY,0.0000
2019/2020,02456,GENERAL,1.0000
2019/2020,02456,METRO WATER DIST,0.0035
2019/2020,02456,UNIFIED SCHOOLS,0.1239
2019/2020,02457,COMMNTY COLLEGE,0.0272
2019/2020,02457,COUNTY,0.0000
2019/2020,02457,GENERAL,1.0000
2019/2020,02457,METRO WATER DIST,0.0035
2019/2020,02457,UNIFIED SCHOOLS,0.1239
2019/2020,02459,CITY-LANCASTER,0.0000
2019/2020,02459,COMMNTY COLLEGE,0.0472
2019/2020,02459,COUNTY,0.0000
2019/2020,02459,ELEM SCHOOLS,0.0586
2019/2020,02459,GENERAL,1.0000
2019/2020,02459,HIGH SCHOOLS,0.0219
2019/2020,02459,SPECIAL WATER,0.0705
2019/2020,02460,COMMNTY COLLEGE,0.0478
2019/2020,02460,COUNTY,0.0000
2019/2020,02460,GENERAL,1.0000
2019/2020,02460,METRO WATER DIST,0.0035
2019/2020,02460,UNIFIED SCHOOLS,0.1076
2019/2020,02463,COMMNTY COLLEGE,0.0472
2019/2020,02463,COUNTY,0.0000
2019/2020,02463,ELEM SCHOOLS,0.0751
2019/2020,02463,GENERAL,1.0000
2019/2020,02463,HIGH SCHOOLS,0.0219
2019/2020,02463,WATER DISTRICT,0.2182
2019/2020,02464,CITY-LANCASTER T,0.0000
2019/2020,02464,COMMNTY COLLEGE,0.0472
2019/2020,02464,COUNTY,0.0000
2019/2020,02464,ELEM SCHOOLS,0.0586
2019/2020,02464,GENERAL,1.0000
2019/2020,02464,HIGH SCHOOLS,0.0219
2019/2020,02464,SPECIAL WATER,0.0705
2019/2020,02465,CITY-LAKEWOOD,0.0000
2019/2020,02465,COMMNTY COLLEGE,0.0445
2019/2020,02465,COUNTY,0.0000
2019/2020,02465,GENERAL,1.0000
2019/2020,02465,METRO WATER DIST,0.0035
2019/2020,02465,UNIFIED SCHOOLS,0.0819
2019/2020,02467,CITY-LAKEWOOD,0.0000
2019/2020,02467,COMMNTY COLLEGE,0.0445
2019/2020,02467,COUNTY,0.0000
2019/2020,02467,GENERAL,1.0000
2019/2020,02467,METRO WATER DIST,0.0035
2019/2020,02467,UNIFIED SCHOOLS,0.0819
2019/2020,02468,COMMNTY COLLEGE,0.0295
2019/2020,02468,COUNTY,0.0000
2019/2020,02468,ELEM SCHOOLS,0.0198
2019/2020,02468,GENERAL,1.0000
2019/2020,02468,HIGH SCHOOLS,0.0549
2019/2020,02468,SPECIAL WATER,0.0706
2019/2020,02470,COMMNTY COLLEGE,0.0295
2019/2020,02470,COUNTY,0.0000
2019/2020,02470,ELEM SCHOOLS,0.0071
2019/2020,02470,GENERAL,1.0000
2019/2020,02470,HIGH SCHOOLS,0.0549
2019/2020,02471,CITY-LAKEWOOD,0.0000
2019/2020,02471,COMMNTY COLLEGE,0.0445
2019/2020,02471,COUNTY,0.0000
2019/2020,02471,GENERAL,1.0000
2019/2020,02471,METRO WATER DIST,0.0035
2019/2020,02471,UNIFIED SCHOOLS,0.0819
2019/2020,02472,COMMNTY COLLEGE,0.0295
2019/2020,02472,COUNTY,0.0000
2019/2020,02472,ELEM SCHOOLS,0.0071
2019/2020,02472,GENERAL,1.0000
2019/2020,02472,HIGH SCHOOLS,0.0549
2019/2020,02472,SPECIAL WATER,0.0706
2019/2020,02473,COMMNTY COLLEGE,0.0295
2019/2020,02473,COUNTY,0.0000
2019/2020,02473,ELEM SCHOOLS,0.0071
2019/2020,02473,GENERAL,1.0000
2019/2020,02473,HIGH SCHOOLS,0.0549
2019/2020,02473,SPECIAL WATER,0.0706
2019/2020,02474,CITY-LAKEWOOD,0.0000
2019/2020,02474,COMMNTY COLLEGE,0.0445
2019/2020,02474,COUNTY,0.0000
2019/2020,02474,GENERAL,1.0000
2019/2020,02474,METRO WATER DIST,0.0035
2019/2020,02474,UNIFIED SCHOOLS,0.0819
2019/2020,02475,COMMNTY COLLEGE,0.0295
2019/2020,02475,COUNTY,0.0000
2019/2020,02475,ELEM SCHOOLS,0.0071
2019/2020,02475,GENERAL,1.0000
2019/2020,02475,HIGH SCHOOLS,0.0549
2019/2020,02475,SPECIAL WATER,0.0706
2019/2020,02476,COMMNTY COLLEGE,0.0072
2019/2020,02476,COUNTY,0.0000
2019/2020,02476,GENERAL,1.0000
2019/2020,02476,UNIFIED SCHOOLS,0.0552
2019/2020,02477,COMMNTY COLLEGE,0.0295
2019/2020,02477,COUNTY,0.0000
2019/2020,12477,GENERAL,1.0000
2019/2020,12477,METRO WATER DIST,0.0035
2019/2020,12477,UNIFIED SCHOOLS,0.1303
2019/2020,12478,CITY-SANTA CLARI,0.0000
2019/2020,12478,COMMNTY COLLEGE,0.0295
2019/2020,12478,COUNTY,0.0000
2019/2020,12478,ELEM SCHOOLS,0.0544
2019/2020,12478,GENERAL,1.0000
2019/2020,12478,HIGH SCHOOLS,0.0549
2019/2020,12478,SPECIAL WATER,0.0706
2019/2020,12479,CITY-SAN DIMAS C,0.0000
2019/2020,12479,COMMNTY COLLEGE,0.0478
2019/2020,12479,COUNTY,0.0000
2019/2020,12479,GENERAL,1.0000
2019/2020,12479,METRO WATER DIST,0.0035
2019/2020,12479,UNIFIED SCHOOLS,0.0787
2019/2020,01248,COMMNTY COLLEGE,0.0272
2019/2020,01248,COUNTY,0.0000
2019/2020,01248,GENERAL,1.0000
2019/2020,01248,METRO WATER DIST,0.0035
2019/2020,01248,UNIFIED SCHOOLS,0.1255
2019/2020,12483,CITY-BALDWIN PK,0.0000
2019/2020,12483,COMMNTY COLLEGE,0.0478
2019/2020,12483,COUNTY,0.0000
2019/2020,12483,GENERAL,1.0000
2019/2020,12483,METRO WATER DIST,0.0035
2019/2020,12483,UNIFIED SCHOOLS,0.1303
2019/2020,12484,CITY-GLENDORA,0.0000
2019/2020,12484,COMMNTY COLLEGE,0.0217
2019/2020,12484,COUNTY,0.0000
2019/2020,12484,GENERAL,1.0000
2019/2020,12484,METRO WATER DIST,0.0035
2019/2020,12484,UNIFIED SCHOOLS,0.0623
2019/2020,12485,CITY-GLENDORA,0.0000
2019/2020,12485,COMMNTY COLLEGE,0.0217
2019/2020,12485,COUNTY,0.0000
2019/2020,12485,GENERAL,1.0000
2019/2020,12485,METRO WATER DIST,0.0035
2019/2020,12485,UNIFIED SCHOOLS,0.0623
2019/2020,12486,COMMNTY COLLEGE,0.0478
2019/2020,12486,COUNTY,0.0000
2019/2020,12486,GENERAL,1.0000
2019/2020,12486,METRO WATER DIST,0.0035
2019/2020,12486,UNIFIED SCHOOLS,0.0825
2019/2020,12487,CITY-WHITTIER,0.0000
2019/2020,12487,COMMNTY COLLEGE,0.0257
2019/2020,12487,COUNTY,0.0000
2019/2020,12487,ELEM SCHOOLS,0.0353
2019/2020,12487,GENERAL,1.0000
2019/2020,12487,HIGH SCHOOLS,0.0550
2019/2020,12487,METRO WATER DIST,0.0035
2019/2020,01249,CITY CARSON,0.0000
2019/2020,01249,COMMNTY COLLEGE,0.0272
2019/2020,01249,COUNTY,0.0000
2019/2020,01249,GENERAL,1.0000
2019/2020,01249,METRO WATER DIST,0.0035
2019/2020,01249,UNIFIED SCHOOLS,0.1255
2019/2020,12490,CITY-SANTA CLARI,0.0000
2019/2020,12490,COMMNTY COLLEGE,0.0295
2019/2020,12490,COUNTY,0.0000
2019/2020,12490,ELEM SCHOOLS,0.0544
2019/2020,12490,GENERAL,1.0000
2019/2020,12490,HIGH SCHOOLS,0.0549
2019/2020,12490,SPECIAL WATER,0.0706
2019/2020,12491,CITY-SANTA CLARI,0.0000
2019/2020,12491,COMMNTY COLLEGE,0.0295
2019/2020,12491,COUNTY,0.0000
2019/2020,12491,ELEM SCHOOLS,0.0544
2019/2020,12491,GENERAL,1.0000
2019/2020,12491,HIGH SCHOOLS,0.0549
2019/2020,12491,SPECIAL WATER,0.0706
2019/2020,12493,CITY-SANTA CLARI,0.0000
2019/2020,12493,COMMNTY COLLEGE,0.0295
2019/2020,12493,COUNTY,0.0000
2019/2020,12493,ELEM SCHOOLS,0.0544
2019/2020,12493,GENERAL,1.0000
2019/2020,12493,HIGH SCHOOLS,0.0549
2019/2020,12493,SPECIAL WATER,0.0706
2019/2020,12494,CITY-SANTA CLARI,0.0000
2019/2020,12494,COMMNTY COLLEGE,0.0295
2019/2020,12494,COUNTY,0.0000
2019/2020,12494,ELEM SCHOOLS,0.0544
2019/2020,12494,GENERAL,1.0000
2019/2020,12494,HIGH SCHOOLS,0.0549
2019/2020,12494,SPECIAL WATER,0.0706
2019/2020,12496,CITY-GLENDORA,0.0000
2019/2020,12496,COMMNTY COLLEGE,0.0217
2019/2020,12496,COUNTY,0.0000
2019/2020,12496,GENERAL,1.0000
2019/2020,12496,METRO WATER DIST,0.0035
2019/2020,12496,UNIFIED SCHOOLS,0.0623
2019/2020,12497,CITY-ROSEMEAD,0.0000
2019/2020,12497,COMMNTY COLLEGE,0.0272
2019/2020,12497,COUNTY,0.0000
2019/2020,12497,GENERAL,1.0000
2019/2020,12497,METRO WATER DIST,0.0035
2019/2020,12497,UNIFIED SCHOOLS,0.0931
2019/2020,12498,CITY-INDUSTRY,0.7375
2019/2020,01299,COUNTY,0.0000
2019/2020,01299,ELEM SCHOOLS,0.0388
2019/2020,01299,GENERAL,1.0000
2019/2020,01299,HIGH SCHOOLS,0.0549
