category,position
other,SYSTEMS ANALYST II
other,SYSTEMS ANALYST LL
other,SYSTEMS TECHNICIAN
firefighter,TEAM/PROJECT LEADER-BATTALION CHIEF SHIFT
firefighter,TEAM/PROJECT LEADER-BATTALION CHIEF STAFF
other,TECHNICIAN I
other,TELECOMMUNICATIONS TECHNICIAN
other,TEMP - FLAT RATE
other,"TEMP CONTRACT SERVICES EMPLOYEE, PT"
other,"TEMP CONTRACT SVCS EMPLOYEE, PT"
other,TEMP EMPLOYEE RETIREE U
other,TEMP EMPLOYEE U MB
other,TEMP EMPLOYEE U NMB
other,TEMP EMPLOYEE U PART TIME
other,TEMP EMPLOYEE U PT
other,TEMP FIRE CHIEF
other,TEMP FIRE DIVISION CHIEF
other,TEMP FIRE FIGHTER I
other,TEMP OFFICE ASST
other,TEMP PREV PLAN EXAM NS
other,TEMP RETIREE
other,TEMP SECRETARY I
other,TEMP WEED ABATEMENT INSPECTOR
other,TEMP WORKER
other,TEMP WORKER - FIRE CAPTAIN - DEPUTY FIRE MARSHAL
other,TEMP WORKER - FIRE CAPTAIN - DFM
other,TEMP-DIRECTOR ENVIRONMENTAL PROTECTION
other,TEMP-DIRECTOR OF ENVIRONMENTAL PROTECTION
other,TEMP-NEW BUS INSP SP
other,TEMP. OFFICE ASSISTANT
other,TEMP/PART-TIME (ADMIN)
other,TEMP/PART-TIME (NONMANUAL)
other,TEMPORARY ADMINISTRATIVE BATTALION CHIEF
other,TEMPORARY CONTRACT SERVICES EMPLOYEE
other,TEMPORARY FIRE CHIEF
other,TEMPORARY FIRE FIGHTER
other,TEMPORARY FIRE MARSHALL
other,TEMPORARY FIRE PREVENTION TECHNICIAN
other,TEMPORARY FIRE SECRETARY
other,TEMPORARY FIREFIGHTER
other,TEMPORARY HOLDING
other,TEMPORARY HOURLY
other,TEMPORARY OFFICE SPECIALIST
other,TEMPORARY ON CALL FIREFIGHTER
other,TEMPORARY PLANNER
other,TEMPORARY SEASONAL
other,TEMPORARY WORKER
other,TEMPORARY WORKER - FIRE CAPTAIN - DEPUTY FIRE MARSHAL
other,TEMPORARY WORKER - FIRE CHIEF
other,TEMPORARY WORKER - SECRETARY
other,"TEMPORARY, CONTRACT SERVICES EMPLOYEE"
other,TIRE REPAIRER
firefighter,TRAINING OFFICER/DEPUTY CHIEF
firefighter,TRAINING OFFICER/OPS. CHIEF (VOLUNTEER)
firefighter,UNDERSHERIFIREFIGHTER
other,VIDEO PRODUCTION TECHNICIAN
other,VIDEO SERVICES TECHNICIAN I
other,VOL  FIREFIGHTER I W/EMT
firefighter,VOL CAPTAIN ASSISTANT
other,VOL FIREFIGHTER I
other,VOL FIREFIGHTER I W/EMT
other,VOLFF
other,VOLUNTEER
firefighter,VOLUNTEER  CAPTAIN
firefighter,VOLUNTEER CAPTAIN
firefighter,VOLUNTEER CAPTAIN ASSISTANT
other,VOLUNTEER ENGINEER W EMT
other,VOLUNTEER ENGINEER W/EMT
other,VOLUNTEER FF
other,VOLUNTEER FIRE
firefighter,VOLUNTEER FIRE CAPTAIN
firefighter,VOLUNTEER FIRE CHIEF
other,VOLUNTEER FIRE ENGINEER
other,VOLUNTEER FIRE FIGHTER
other,VOLUNTEER FIRE FIGHTER I
other,VOLUNTEER FIRE FIGHTER-I
other,VOLUNTEER FIRE SUPPRESS-12
other,VOLUNTEER FIRE SUPPRESS-67
other,VOLUNTEER FIRE SUPPRESS-68
other,VOLUNTEER FIRE SUPPRESS-69
other,VOLUNTEER FIRE SUPPRESS-70
other,VOLUNTEER FIRE SUPPRESS-72
other,VOLUNTEER FIRE SUPPRESSION
other,VOLUNTEER FIREFIGHTER
other,VOLUNTEER FIREFIGHTER - EMERGENCY MEDICAL TECHNICIAN WITH CERTIFICATION
other,VOLUNTEER FIREFIGHTER - EMERGENCY MEDICAL TECHNICIAN WITH MOBILE INTENSIVE CARE UNIT CERTIFICATION
other,VOLUNTEER FIREFIGHTER - ENGINEER
other,VOLUNTEER FIREFIGHTER I
firefighter,VOLUNTEER FIREFIGHTER I - CAPTAIN ASSISTANT
other,VOLUNTEER FIREFIGHTER I W/EMT
firefighter,VOLUNTEER FIREFIGHTER I-  CAPTAIN
other,VOLUNTEER FIREFIGHTER WITH CURRENT MET
other,VOLUNTEER FIREFIGHTER/PARAMEDIC
other,VOLUNTEER FIREFIGHTER/RES OFFICER
other,VOLUNTEER FIREMAN
other,VOLUNTEER FIREMEN
other,VOLUNTEER PAID-CALL FIREFIGHTER
other,VOLUNTEER SERVICES PROGRAM MANAGER
firefighter,VOUNTEER FIREFIGHTER/PARAMEDIC
other,WAREHOUSE & TOOLROOM WORKER L
other,WAREHOUSE & TOOLROOM WORKER LL
other,WAREHOUSE AND TOOLROOM WORKER I
other,WAREHOUSE AND TOOLROOM WORKER II
other,WELDER
other,X150 OFFICE CLERICAL
other,Z-TEMP/FIREFIGHTER TRAINEE
other,Z-TEMP/PART-TIME (ADMIN)
other,Z-TEMP/PART-TIME (NO MANUAL)
other,Z-TEMP/PART-TIME (NONMANUAL)
other,ZTEMP - FLAT RATE
