agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2,senate_requestor4
Department of Housing and Urban Development,1000000,,H,"Doyle, Michael F.",,,,,,
Department of Housing and Urban Development,2500000,,H,"Boyle, Brendan F.",,,,,,
Department of Housing and Urban Development,525000,,H,"Doyle, Michael F.",,,,,,
Department of Housing and Urban Development,1000000,,H,"Doyle, Michael F.",,,,,,
Department of Housing and Urban Development,500000,,H,Fitzpatrick,,,,,,
Department of Housing and Urban Development,241784,,H,"Boyle, Brendan F.",,,,,,
Department of Housing and Urban Development,1000000,,H,Evans,,,,,,
Department of Housing and Urban Development,150000,,H,"Boyle, Brendan F.",,,,,,
Department of Housing and Urban Development,3000000,,H,Meuser,,,,,,
Department of Housing and Urban Development,2000000,,H,"Doyle, Michael F.",,,,,,
Department of Housing and Urban Development,250000,,H,"Doyle, Michael F.",,,,,,
Department of Housing and Urban Development,300000,,H,Dean,,,,,,
Department of Housing and Urban Development,2000000,,H,"Doyle, Michael F.",,,,,,
Rural Development,1000000,,H,Meuser,,,,,,
Rural Development,1395000,,H,Reschenthaler,,,,,,
Rural Development,2500000,,H,Meuser,,,,,,
Rural Development,247500,,H,Wild,,,,,,
Rural Development,1000000,,H,Wild,,,,,,
DOJ,550000,,H,Malliotakis,,,,,,
DOC,233000,,H,Carl,,,,,,
DOJ,600000,,H,Beyer,,,,,,
DOJ,1750000,,H,Bilirakis,,,,,,
DOJ,200000,,H,Bilirakis,,,,,,
DOJ,149000,,H,Dingell,,,,,,
DOJ,413000,,H,Cicilline,,,,,,
DOJ,230000,,H,Crist,,,,,,
DOJ,250000,,H,Wexton,,,,,,
Department of Housing and Urban Development,1500000,,H,Jenniffer,,,,,,
Department of Housing and Urban Development,300000,,H,Jenniffer,,,,,,
Department of Housing and Urban Development,300000,,H,Jenniffer,,,,,,
DOJ,250000,,H,Dingell,,,,,,
DOC,500000,,H,Kahele,,,,,,
DOJ,173000,,H,Rouzer,,,,,,
DOJ,500000,,H,Ross,,,,,,
NASA,1200000,,H,Lucas,,,,,,
DOJ,300000,,H,Jayapal,,,,,,
Department of Housing and Urban Development,2300000,,H,Cicilline,,,,,,
Department of Housing and Urban Development,695491,,H,Cicilline,,,,,,
Department of Housing and Urban Development,775000,,H,Langevin,,,,,,
Department of Housing and Urban Development,578000,,H,Langevin,,,,,,
Department of Housing and Urban Development,500000,,H,Langevin,,,,,,
Department of Housing and Urban Development,1100000,,H,Langevin,,,,,,
DOJ,1000000,,H,McNerney,,,,,,
DOJ,1000000,,H,"Gonzales, Tony",,,,,,
Department of Housing and Urban Development,3000000,,H,Clyburn,,,,,,
Department of Housing and Urban Development,1600000,,H,Clyburn,,,,,,
Department of Housing and Urban Development,3000000,,H,Clyburn,,,,,,
Department of Housing and Urban Development,4290000,,H,Clyburn,,,,,,
Rural Development,2883469,,H,Clyburn,,,,,,
DOJ,1064000,,H,Meuser,,,,,,
DOJ,595000,,H,Deutch,,,,,,
DOJ,246000,,H,DelBene,,,,,,
DOC,480000,,H,Pallone,,,,,,
DOJ,224000,,H,Lamb,,,,,,
DOJ,850000,,H,Moulton,,,,,,
DOJ,125000,,H,Boyle,,,,,,
DOJ,500000,,H,Trahan,,,,,,
DOC,322000,,H,Jayapal,,,,,,
DOJ,303000,,H,Sablan,,,,,,
DOJ,500000,,H,Mrvan,,,,,,
DOC,2000000,,H,Doggett,,,,,,
DOJ,2015000,,H,Escobar,,,,,,
DOJ,800000,,H,Clyburn,,,,,,
Department of Housing and Urban Development,450000,,H,Cohen,,,,,,
Department of Housing and Urban Development,3000000,,H,Cohen,,,,,,
Department of Housing and Urban Development,1080000,,H,Cohen,,,,,,
Department of Housing and Urban Development,2040000,,H,Burchett,,,,,,
Department of Housing and Urban Development,500000,,H,Burchett,,,,,,
Department of Housing and Urban Development,1375000,,H,Burchett,,,,,,
Department of Housing and Urban Development,796812,,H,Cooper,,,,,,
Department of Housing and Urban Development,1000000,,H,Cohen,,,,,,
DOJ,1000000,,H,Barragan,,,,,,
FEMA,1000000,,H,Vela,,,,,,
FEMA,8250000,,H,Crenshaw,,,,,,
FEMA,9950000,,H,Fletcher,,,,,,
FEMA,9950000,,H,Crenshaw,,,,,,
FEMA,9950000,,H,Jackson Lee,,,,,,
FEMA,3706267,,H,"Gonzalez, Vicente",,,,,,
FEMA,1000000,,H,Cuellar,,,,,,
Department of Transportation,833000,,H,Veasey,,,,,,
Department of Housing and Urban Development,1000000,,H,"Gonzales, Tony",,,,,,
Department of Housing and Urban Development,2000000,,H,Vela,,,,,,
Department of Housing and Urban Development,500000,,H,"Gonzalez,",,,,,,
Department of Housing and Urban Development,350000,,H,"Gonzalez,",,,,,,
Department of Housing and Urban Development,700000,,H,"Gonzalez,",,,,,,
Department of Housing and Urban Development,2000000,,H,Cuellar,,,,,,
Department of Housing and Urban Development,100000,,H,Veasey,,,,,,
Department of Housing and Urban Development,1000000,,H,"Gonzalez,",,,,,,
Department of Housing and Urban Development,400000,,H,"Gonzalez,",,,,,,
Department of Housing and Urban Development,2000000,,H,Nehls,,,,,,
Department of Housing and Urban Development,414000,,H,Veasey,,,,,,
Department of Housing and Urban Development,3000000,,H,Nehls,,,,,,
Department of Housing and Urban Development,3000000,,H,Veasey,,,,,,
Department of Housing and Urban Development,942997,,H,Doggett,,,,,,
Department of Housing and Urban Development,1000000,,H,Allred,,,,,,
Department of Housing and Urban Development,2430055,,H,Veasey,,,,,,
Department of Housing and Urban Development,1000000,,H,Escobar,,,,,,
Department of Housing and Urban Development,1000000,,H,Escobar,,,,,,
Department of Housing and Urban Development,3000000,,H,Jackson Lee,,,,,,
Department of Housing and Urban Development,1060000,,H,Jackson Lee,,,,,,
Rural Development,304454,,H,"Gonzalez, Vicente",,,,,,
Rural Development,3539318,,H,Cuellar,,,,,,
Rural Development,1275000,,H,Cuellar,,,,,,
Rural Development,562500,,H,"Gonzales, Tony",,,,,,
Rural Development,2392763,,H,Cuellar,,,,,,
Rural Development,1500000,,H,Sessions,,,,,,
Rural Development,2850000,,H,Escobar,,,,,,
DOC,660000,,H,Kinzinger,,,,,,
DOJ,497000,,H,Ruppersberger,,,,,,
DOJ,220000,,H,Bass,,,,,,
Department of Housing and Urban Development,200000,,H,Owens,,,,,,
Department of Housing and Urban Development,328886,,H,Owens,,,,,,
FEMA,750000,,H,McEachin,,,,,,
FEMA,950000,,H,Connolly,,,,,,
Department of Transportation,5000000,,H,Luria,,,,,,
Department of Housing and Urban Development,396227,,H,Beyer,,,,,,
Department of Housing and Urban Development,2000000,,H,Wexton,,,,,,
Department of Housing and Urban Development,420000,,H,Beyer,,,,,,
Department of Housing and Urban Development,200000,,H,Spanberger,,,,,,
Department of Housing and Urban Development,150173,,H,Spanberger,,,,,,
Department of Housing and Urban Development,2100000,,H,Connolly,,,,,,
Department of Housing and Urban Development,122590,,H,Spanberger,,,,,,
Department of Housing and Urban Development,775000,,H,Spanberger,,,,,,
Department of Housing and Urban Development,1000000,,H,Luria,,,,,,
Department of Housing and Urban Development,3000000,,H,McEachin,,,,,,
Department of Housing and Urban Development,500000,,H,Luria,,,,,,
Rural Development,375000,,H,Spanberger,,,,,,
Rural Development,923937,,H,Spanberger,,,,,,
Rural Development,2643508,,H,McEachin,,,,,,
Rural Development,750000,,H,Plaskett,,,,,,
Rural Development,750000,,H,Plaskett,,,,,,
DOJ,150000,,H,Krishnamoorthi,,,,,,
DOC,1979000,,H,Connolly,,,,,,
Department of Housing and Urban Development,2000000,,H,Welch,,,,,,
Department of Housing and Urban Development,85000,,H,Welch,,,,,,
Department of Housing and Urban Development,1688000,,H,Welch,,,,,,
Department of Housing and Urban Development,200000,,H,Welch,,,,,,
Department of Housing and Urban Development,517750,,H,Welch,,,,,,
Rural Development,2465176,,H,Welch,,,,,,
FEMA,9950000,,H,Kilmer,,,,,,
FEMA,1000000,,H,Newhouse,,,,,,
Department of Housing and Urban Development,400000,,H,Jayapal,,,,,,
Department of Housing and Urban Development,300000,,H,Jayapal,,,,,,
Department of Housing and Urban Development,700000,,H,Jayapal,,,,,,
Department of Housing and Urban Development,1000000,,H,Kilmer,,,,,,
Department of Housing and Urban Development,1500000,,H,Kilmer,,,,,,
Department of Housing and Urban Development,500000,,H,Kilmer,,,,,,
Department of Housing and Urban Development,941340,,H,Schrier,,,,,,
Department of Housing and Urban Development,500000,,H,Strickland,,,,,,
Department of Housing and Urban Development,3000000,,H,Strickland,,,,,,
Department of Housing and Urban Development,750000,,H,Jayapal,,,,,,
Department of Housing and Urban Development,1500000,,H,DelBene,,,,,,
Department of Housing and Urban Development,1000000,,H,DelBene,,,,,,
Department of Housing and Urban Development,2000000,,H,DelBene,,,,,,
Department of Housing and Urban Development,700000,,H,Schrier,,,,,,
Department of Housing and Urban Development,1800000,,H,Strickland,,,,,,
Department of Housing and Urban Development,1616000,,H,Herrera Beutler,,,,,,
Department of Housing and Urban Development,583390,,H,Herrera Beutler,,,,,,
Department of Housing and Urban Development,2800000,,H,Strickland,,,,,,
Rural Development,900000,,H,Schrier,,,,,,
Rural Development,1000000,,H,DelBene,,,,,,
Rural Development,500000,,H,DelBene,,,,,,
Rural Development,742500,,H,Newhouse,,,,,,
Rural Development,1286390,,H,Schrier,,,,,,
DOC,415000,,H,Case,,,,,,
DOJ,528000,,H,Reschenthaler,,,,,,
FEMA,525000,,H,Kind,,,,,,
Department of Housing and Urban Development,500000,,H,Pocan,,,,,,
Department of Housing and Urban Development,2000000,,H,Pocan,,,,,,
Department of Housing and Urban Development,200000,,H,Pocan,,,,,,
Department of Housing and Urban Development,1686417,,H,Kind,,,,,,
DOJ,273000,,H,Manning,,,,,,
Department of Housing and Urban Development,400000,,H,McKinley,,,,,,
DOJ,300000,,H,Bass,,,,,,
Army Corps of Engineers (Civil),50000,,H,Yarmuth,,,,,,
Army Corps of Engineers (Civil),50000,,H,Zeldin,,,,,,
Army Corps of Engineers (Civil),50000,,H,Zeldin,,,,,,
Army Corps of Engineers (Civil),50000,,H,Stefanik,,,,,,
Army Corps of Engineers (Civil),75000,,H,Bera,,,,,,
Army Corps of Engineers (Civil),75000,,H,Bera,,,,,,
Army Corps of Engineers (Civil),200000,,H,Vela,,,,,,
Army Corps of Engineers (Civil),200000,,H,Pelosi,,,,,,
Army Corps of Engineers (Civil),200000,,H,Rutherford,,,,,,
Army Corps of Engineers (Civil),250000,,H,Garbarino,,,,,,
Army Corps of Engineers (Civil),300000,,H,Luetkemeyer,,,,,,
Army Corps of Engineers (Civil),400000,,H,Mast,,,,,,
Department of the Interior,546000,,H,Vargas,,,,,,
Army Corps of Engineers (Civil),638000,,H,Gallego,,,,,,
Department of the Interior,798000,,H,Gonzales,,,,,,
Army Corps of Engineers (Civil),1500000,,H,Jackson Lee,,,,,,
Army Corps of Engineers (Civil),1620000,,H,Mast,,,,,,
Army Corps of Engineers (Civil),1675000,,H,Dingell, Tlaib,,,,,
Army Corps of Engineers (Civil),1841000,,H,Stanton,,,,,,
Army Corps of Engineers (Civil),2070000,,H,Hoyer,,,,,,
Army Corps of Engineers (Civil),2250000,,H,Letlow,,,,,,
Army Corps of Engineers (Civil),2250000,,H,McNerney,,,,,,
Army Corps of Engineers (Civil),2500000,,H,Steube,,,,,,
Army Corps of Engineers (Civil),2500000,,H,Calvert,,,,,,
Army Corps of Engineers (Civil),2700000,,H,Mrvan,,,,,,
Army Corps of Engineers (Civil),3000000,,H,Cohen,,,,,,
Army Corps of Engineers (Civil),3375000,,H,Kaptur,,,,,,
Army Corps of Engineers (Civil),4000000,,H,Stanton,,,,,,
Army Corps of Engineers (Civil),4800000,,H,Mast,,,,,,
Army Corps of Engineers (Civil),5000000,,H,Cole,,,,,,
Army Corps of Engineers (Civil),5750000,,H,Mast,,,,,,
Army Corps of Engineers (Civil),6000000,,H,Gimenez,,,,,,
Army Corps of Engineers (Civil),8000000,,H,Pallone,,,,,,
Army Corps of Engineers (Civil),8500000,,H,Zeldin,,,,,,
Army Corps of Engineers (Civil),10000000,,H,Mrvan,,,,,,
Army Corps of Engineers (Civil),10549000,,H,Mast,,,,,,
Department of the Interior,11000000,,H,Leger Fernandez,,,,,,
Army Corps of Engineers (Civil),15500000,,H,Steel,,,,,,
Army Corps of Engineers (Civil),18395000,,H,Mrvan,,,,,,
Army Corps of Engineers (Civil),350000000,,H,Mast,,,,,,
Army Corps of Engineers (Civil),2150000,,H,Gonzalez-Colon,,,,,,
Army Corps of Engineers (Civil),1693000,,H,Gomez,,,,,,
Army Corps of Engineers (Civil),1561000,,H,Mrvan,,,,,,
Army Corps of Engineers (Civil),8196000,,H,Mrvan,,,,,,
Army Corps of Engineers (Civil),1332000,,H,Letlow,,,,,,
Army Corps of Engineers (Civil),4010000,,H,Van Drew,,,,,,
Army Corps of Engineers (Civil),918000,,H,Herrera Beutler,,,,,,
FEMA,138557,,H,Neguse,,,,,,
FEMA,1650000,,H,Kilmer,,,,,,
Department of Transportation,30000,,H,Cawthorn,,,,,,
Small Business Administration,50000,,H,Upton,,,,,,
Forest Service,50000,,H,Grijalva,,,,,,
Environmental Protection Agency,68000,,H,Rouzer,,,,,,
Small Business Administration,80000,,H,Newman,,,,,,
Environmental Protection Agency,80000,,H,Lamb,,,,,,
Small Business Administration,100000,,H,Bourdeaux,,,,,,
Environmental Protection Agency,100000,,H,McKinley,,,,,,
Forest Service,120000,,H,Sarbanes,,,,,,
Department of Transportation,135000,,H,Balderson,,,,,,
Department of Transportation,136330,,H,Sherrill,,,,,,
Small Business Administration,138000,,H,Sherman,,,,,,
Department of Transportation,142500,,H,Titus,,,,,,
Environmental Protection Agency,147000,,H,Cleaver,,,,,,
Small Business Administration,149324,,H,Evans,,,,,,
Department of Transportation,150000,,H,McBath,,,,,,
Small Business Administration,175000,,H,Bonamici,,,,,,
Small Business Administration,180644,,H,DelBene,,,,,,
Environmental Protection Agency,185000,,H,Walberg,,,,,,
Environmental Protection Agency,197619,,H,"Davis, Rodney",,,,,,
Small Business Administration,200000,,H,Lawrence,,,,,,
Small Business Administration,200000,,H,Lawrence,,,,,,
Small Business Administration,200000,,H,Panetta,,,,,,
Department of Transportation,200000,,H,Krishnamoorthi,,,,,,
Environmental Protection Agency,225000,,H,Schrier,,,,,,
Environmental Protection Agency,230400,,H,McKinley,,,,,,
Environmental Protection Agency,240000,,H,Bilirakis,,,,,,
Small Business Administration,250000,,H,McBath,,,,,,
Small Business Administration,250000,,H,Yarmuth,,,,,,
Department of Transportation,265000,,H,Carl,,,,,,
Department of Transportation,270000,,H,Perlmutter,,,,,,
Environmental Protection Agency,277804,,H,Kuster,,,,,,
Environmental Protection Agency,279664,,H,Costa,,,,,,
Department of Transportation,290250,,H,Kuster,,,,,,
Department of Transportation,294700,,H,Vargas,,,,,,
Small Business Administration,300000,,H,McGovern,,,,,,
Small Business Administration,300000,,H,Ross,,,,,,
Environmental Protection Agency,300000,,H,Suozzi,,,,,,
Forest Service,300000,,H,Case,,,,,,
Department of Transportation,300000,,H,Kuster,,,,,,
Department of Transportation,300000,,H,Beyer,,,,,,
Small Business Administration,312744,,H,Ryan,,,,,,
Environmental Protection Agency,320000,,H,"Davis, Rodney",,,,,,
Department of Transportation,320000,,H,Bera,,,,,,
Department of Transportation,325000,,H,Beyer,,,,,,
Small Business Administration,330000,,H,Yarmuth,,,,,,
Department of Transportation,350000,,H,Kuster,,,,,,
Environmental Protection Agency,352000,,H,Trahan,,,,,,
Forest Service,358000,,H,Neguse,,,,,,
Environmental Protection Agency,360000,,H,Malinowski,,,,,,
Department of Transportation,394800,,H,Kuster,,,,,,
Environmental Protection Agency,398700,,H,Reed,,,,,,
Environmental Protection Agency,400000,,H,Panetta,,,,,,
Environmental Protection Agency,400000,,H,Deutch,,,,,,
Environmental Protection Agency,400000,,H,Guthrie,,,,,,
Environmental Protection Agency,400000,,H,Latta,,,,,,
Environmental Protection Agency,400000,,H,Beyer,,,,,,
Environmental Protection Agency,400000,,H,Guthrie,,,,,,
Environmental Protection Agency,400000,,H,Lamb,,,,,,
Department of Transportation,424000,,H,Hayes,,,,,,
Small Business Administration,437200,,H,Titus,,,,,,
Department of Transportation,444946,,H,Hayes,,,,,,
Environmental Protection Agency,450000,,H,Wenstrup,,,,,,
Small Business Administration,474355,,H,Sewell,,,,,,
Environmental Protection Agency,475000,,H,Himes,,,,,,
Environmental Protection Agency,480000,,H,Hayes,,,,,,
Environmental Protection Agency,480000,,H,Yarmuth,,,,,,
Environmental Protection Agency,480000,,H,Reed,,,,,,
Environmental Protection Agency,480000,,H,Sewell,,,,,,
Environmental Protection Agency,480000,,H,"Davis, Rodney",,,,,,
Small Business Administration,500000,,H,Case,,,,,,
Small Business Administration,500000,,H,Salazar,,,,,,
Small Business Administration,500000,,H,Stanton,,,,,,
Small Business Administration,500000,,H,Vela,,,,,,
Environmental Protection Agency,500000,,H,Salazar,,,,,,
Environmental Protection Agency,500000,,H,Sarbanes,,,,,,
Environmental Protection Agency,500000,,H,Brownley,,,,,,
Environmental Protection Agency,500000,,H,Reschenthaler,,,,,,
Environmental Protection Agency,500000,,H,Vela,,,,,,
Forest Service,500000,,H,Eshoo,,,,,,
Department of Transportation,500000,,H,Casten,,,,,,
Department of Transportation,500000,,H,Palazzo,,,,,,
Department of Transportation,501824,,H,Gallego,,,,,,
Department of Transportation,532240,,H,Sires,,,,,,
Environmental Protection Agency,560800,,H,Underwood,,,,,,
Department of Transportation,598000,,H,Horsford,,,,,,
Environmental Protection Agency,600000,,H,Pappas,,,,,,
Environmental Protection Agency,600000,,H,Suozzi,,,,,,
Environmental Protection Agency,600000,,H,Axne,,,,,,
Environmental Protection Agency,600000,,H,Pappas,,,,,,
Environmental Protection Agency,600000,,H,Tenney,,,,,,
Department of Transportation,600000,,H,Deutch,,,,,,
Department of Transportation,600000,,H,McBath,,,,,,
Department of Transportation,600000,,H,Miller-Meeks,,,,,,
Department of Transportation,600000,,H,Kuster,,,,,,
Environmental Protection Agency,606000,,H,Salazar,,,,,,
Department of Transportation,614000,,H,Casten,,,,,,
Department of Transportation,615000,,H,Perlmutter,,,,,,
Department of Transportation,615000,,H,Hinson,,,,,,
Environmental Protection Agency,624835,,H,Fletcher,,,,,,
Forest Service,625000,,H,Watson Coleman,,,,,,
Department of Transportation,633050,,H,Carl,,,,,,
Environmental Protection Agency,640000,,H,Newman,,,,,,
Department of Transportation,645609,,H,Houlahan,,,,,,
Department of Transportation,650000,,H,Quigley,,,,,,
Department of Transportation,650000,,H,"Maloney, Sean",,,,,,
Environmental Protection Agency,665000,,H,Demings,,,,,,
Department of Transportation,680000,,H,Newman,,,,,,
Department of Transportation,682080,,H,Mrvan,,,,,,
Environmental Protection Agency,700000,,H,Sewell,,,,,,
Environmental Protection Agency,700000,,H,Crist,,,,,,
Department of Transportation,700000,,H,Simpson,,,,,,
Department of Transportation,702941,,H,Carl,,,,,,
Environmental Protection Agency,720000,,H,Steube,,,,,,
Environmental Protection Agency,740000,,H,Neal,,,,,,
Small Business Administration,750000,,H,Cohen,,,,,,
Environmental Protection Agency,750000,,H,Diaz-Balart,,,,,,
Environmental Protection Agency,750000,,H,Barr,,,,,,
Forest Service,750000,,H,Eshoo,,,,,,
Forest Service,750000,,H,Sherman,,,,,,
Forest Service,750000,,H,Schrier,,,,,,
Department of Transportation,750000,,H,Trahan,,,,,,
Department of Transportation,757803,,H,Obernolte,,,,,,
Environmental Protection Agency,760000,,H,Pallone,,,,,,
Department of Transportation,760000,,H,Demings,,,,,,
Environmental Protection Agency,780000,,H,Calvert,,,,,,
Environmental Protection Agency,782000,,H,Fletcher,,,,,,
Environmental Protection Agency,785000,,H,Casten,,,,,,
Small Business Administration,800000,,H,Van Drew,,,,,,
Environmental Protection Agency,800000,,H,Speier,,,,,,
Environmental Protection Agency,800000,,H,Speier,,,,,,
Environmental Protection Agency,800000,,H,Obernolte,,,,,,
Environmental Protection Agency,800000,,H,Sherrill,,,,,,
Department of Transportation,800000,,H,Eshoo,,,,,,
Department of Transportation,800000,,H,Soto,,,,,,
Department of Transportation,800000,,H,Beyer,,,,,,
Environmental Protection Agency,840000,,H,Schrier,,,,,,
Department of Transportation,850000,,H,Miller-Meeks,,,,,,
Department of Transportation,867648,,H,Garamendi,,,,,,
Department of Transportation,880000,,H,Khanna,,,,,,
Environmental Protection Agency,900000,,H,Deutch,,,,,,
Environmental Protection Agency,900000,,H,Ross,,,,,,
Department of Transportation,900000,,H,Kinzinger,,,,,,
Department of Transportation,915000,,H,O'Halleran,,,,,,
Department of Transportation,935000,,H,Wexton,,,,,,
Environmental Protection Agency,940000,,H,Waters,,,,,,
Small Business Administration,952394,,H,Sablan,,,,,,
Department of Transportation,958218,,H,Pressley,,,,,,
Environmental Protection Agency,960000,,H,Obernolte,,,,,,
Environmental Protection Agency,960000,,H,Plaskett,,,,,,
Department of Transportation,960000,,H,Stanton,,,,,,
Small Business Administration,971977,,H,Payne,,,,,,
Environmental Protection Agency,996160,,H,Harshbarger,,,,,,
Environmental Protection Agency,999999,,H,Lamb,,,,,,
Small Business Administration,1000000,,H,Blunt Rochester,,,,,,
Small Business Administration,1000000,,H,Cartwright,,,,,,
Small Business Administration,1000000,,H,Clyburn,,,,,,
Small Business Administration,1000000,,H,Krishnamoorthi,,,,,,
Small Business Administration,1000000,,H,McCollum,,,,,,
Small Business Administration,1000000,,H,McNerney,,,,,,
Small Business Administration,1000000,,H,Stefanik,,,,,,
Small Business Administration,1000000,,H,Tlaib,,,,,,
Small Business Administration,1000000,,H,Trahan,,,,,,
Small Business Administration,1000000,,H,Turner,,,,,,
Environmental Protection Agency,1000000,,H,Panetta,,,,,,
Environmental Protection Agency,1000000,,H,Steube,,,,,,
Environmental Protection Agency,1000000,,H,Axne,,,,,,
Environmental Protection Agency,1000000,,H,Neal,,,,,,
Environmental Protection Agency,1000000,,H,Raskin,,,,,,
Environmental Protection Agency,1000000,,H,McClain,,,,,,
Environmental Protection Agency,1000000,,H,McClain,,,,,,
Environmental Protection Agency,1000000,,H,Rouzer,,,,,,
Environmental Protection Agency,1000000,,H,Rouzer,,,,,,
Environmental Protection Agency,1000000,,H,Jones,,,,,,
Environmental Protection Agency,1000000,,H,Doggett,,,,,,
Environmental Protection Agency,1000000,,H,Roybal-Allard,,,,,,
Environmental Protection Agency,1000000,,H,Peters,,,,,,
Environmental Protection Agency,1000000,,H,Takano,,,,,,
Environmental Protection Agency,1000000,,H,Diaz-Balart,,,,,,
Environmental Protection Agency,1000000,,H,Steube,,,,,,
Environmental Protection Agency,1000000,,H,McClain,,,,,,
Environmental Protection Agency,1000000,,H,Upton,,,,,,
Environmental Protection Agency,1000000,,H,Bonamici,,,,,,
Department of Transportation,1000000,,H,Hinson,,,,,,
Department of Transportation,1000000,,H,"Davis, Rodney",,,,,,
Department of Transportation,1000000,,H,Speier,,,,,,
Department of Transportation,1000000,,H,Obernolte,,,,,,
Department of Transportation,1000000,,H,Panetta,,,,,,
Department of Transportation,1000000,,H,Steube,,,,,,
Department of Transportation,1000000,,H,Axne,,,,,,
Department of Transportation,1000000,,H,Quigley,,,,,,
Department of Transportation,1000000,,H,Yarmuth,,,,,,
Department of Transportation,1000000,,H,Emmer,,,,,,
Department of Transportation,1000000,,H,Jones,,,,,,
Department of Transportation,1000000,,H,Reschenthaler,,,,,,
Department of Transportation,1000000,,H,Doggett,,,,,,
Department of Transportation,1000000,,H,Beyer,,,,,,
Environmental Protection Agency,1080000,,H,Casten,,,,,,
Environmental Protection Agency,1105000,,H,Escobar,,,,,,
Environmental Protection Agency,1105166,,H,Gottheimer,,,,,,
Environmental Protection Agency,1120000,,H,Plaskett,,,,,,
Environmental Protection Agency,1120000,,H,McKinley,,,,,,
Department of Transportation,1126734,,H,Schneider,,,,,,
Environmental Protection Agency,1200000,,H,Bustos,,,,,,
Environmental Protection Agency,1200000,,H,Plaskett,,,,,,
Department of Transportation,1200000,,H,DeSaulnier,,,,,,
Environmental Protection Agency,1250000,,H,Young,,,,,,
Environmental Protection Agency,1393682,,H,Pascrell,,,,,,
Department of Transportation,1400000,,H,Himes,,,,,,
Department of Transportation,1427500,,H,Malinowski,,,,,,
Department of Transportation,1435000,,H,Adams,,,,,,
Department of Transportation,1440000,,H,Bergman,,,,,,
Environmental Protection Agency,1475000,,H,Auchincloss,,,,,,
Environmental Protection Agency,1479355,,H,Kilmer,,,,,,
Environmental Protection Agency,1500000,,H,Bilirakis,,,,,,
Environmental Protection Agency,1500000,,H,Demings,,,,,,
Environmental Protection Agency,1500000,,H,Wasserman Schultz,,,,,,
Environmental Protection Agency,1500000,,H,Auchincloss,,,,,,
Environmental Protection Agency,1500000,,H,Stewart,,,,,,
Department of Transportation,1500000,,H,Upton,,,,,,
Department of Transportation,1500000,,H,Reschenthaler,,,,,,
Department of Transportation,1500000,,H,Sanchez Sanchez,,,,,,
Department of Transportation,1500000,,H,Doggett,,,,,,
Environmental Protection Agency,1520000,,H,Cicilline,,,,,,
Environmental Protection Agency,1585000,,H,Schrier,,,,,,
Environmental Protection Agency,1600000,,H,Salazar,,,,,,
Environmental Protection Agency,1600000,,H,Crenshaw,,,,,,
Environmental Protection Agency,1600000,,H,Crenshaw,,,,,,
Department of Transportation,1600000,,H,Axne,,,,,,
Department of Transportation,1600000,,H,Fleischmann,,,,,,
Environmental Protection Agency,1636364,,H,Doggett,,,,,,
Environmental Protection Agency,1673600,,H,Crenshaw,,,,,,
Environmental Protection Agency,1700000,,H,Miller-Meeks,,,,,,
Environmental Protection Agency,1700000,,H,Sessions,,,,,,
Environmental Protection Agency,1700000,,H,LaHood,,,,,,
Department of Transportation,1700000,,H,Swalwell,,,,,,
Department of Transportation,1700000,,H,"Scott, David",,,,,,
Environmental Protection Agency,1750000,,H,Bilirakis,,,,,,
Environmental Protection Agency,1760000,,H,Walberg,,,,,,
Environmental Protection Agency,1772800,,H,Wasserman Schultz,,,,,,
Department of Transportation,1800000,,H,Matsui,,,,,,
Department of Transportation,1827000,,H,Moolenaar,,,,,,
Environmental Protection Agency,1840000,,H,Spanberger,,,,,,
Environmental Protection Agency,1897001,,H,Butterfield,,,,,,
Environmental Protection Agency,1932000,,H,Obernolte,,,,,,
Environmental Protection Agency,1950000,,H,Jackson Lee,,,,,,
Environmental Protection Agency,1965040,,H,"Davis, Rodney",,,,,,
Environmental Protection Agency,1975000,,H,"Davis, Rodney",,,,,,
Environmental Protection Agency,2000000,,H,Matsui,,,,,,
Environmental Protection Agency,2000000,,H,Buchanan,,,,,,
Environmental Protection Agency,2000000,,H,Wasserman Schultz,,,,,,
Environmental Protection Agency,2000000,,H,Steube,,,,,,
Environmental Protection Agency,2000000,,H,Quigley,,,,,,
Environmental Protection Agency,2000000,,H,Letlow,,,,,,
Environmental Protection Agency,2000000,,H,"Maloney, Sean",,,,,,
Environmental Protection Agency,2000000,,H,Gimenez,,,,,,
Environmental Protection Agency,2000000,,H,Auchincloss,,,,,,
Environmental Protection Agency,2000000,,H,Stevens,,,,,,
Department of Transportation,2000000,,H,Mrvan,,,,,,
Department of Transportation,2000000,,H,Eshoo,,,,,,
Department of Transportation,2000000,,H,Obernolte,,,,,,
Department of Transportation,2000000,,H,Obernolte,,,,,,
Department of Transportation,2000000,,H,Himes,,,,,,
Department of Transportation,2000000,,H,Loudermilk,,,,,,
Department of Transportation,2000000,,H,Miller-Meeks,,,,,,
Department of Transportation,2000000,,H,Guthrie,,,,,,
Department of Transportation,2000000,,H,Guthrie,,,,,,
Department of Transportation,2000000,,H,Slotkin,,,,,,
Department of Transportation,2000000,,H,Lucas,,,,,,
Department of Transportation,2000000,,H,Schrader,,,,,,
Department of Transportation,2000000,,H,"Doyle, Michael F.",,,,,,
Department of Transportation,2000000,,H,Wexton,,,,,,
