,position,total
1664,FIRE INSPECTOR I,981
1665,FIRE INSPECTOR I (BASSETT),1
1666,FIRE INSPECTOR I - TEMP,11
1667,FIRE INSPECTOR I EXTRA HELP,45
1668,FIRE INSPECTOR I I,8
1669,FIRE INSPECTOR II,729
1670,FIRE INSPECTOR II (HRLY),2
1671,FIRE INSPECTOR II (PT),2
1672,FIRE INSPECTOR II - SAFETY,7
1673,FIRE INSPECTOR II EXTRA HELP,26
1674,FIRE INSPECTOR III,29
1675,FIRE INSPECTOR L,194
1676,FIRE INSPECTOR LL,33
1677,FIRE INSPECTOR P/T,1
1678,FIRE INSPECTOR SUPERVISOR,3
1679,FIRE INSPECTOR TEMP PT,1
1680,FIRE INSPECTOR TEMPORARY PART TIME,1
1681,FIRE INSPECTOR V,2
1682,"FIRE INSPECTOR, SENIOR",7
1683,FIRE INSPECTOR-CODE ENF,1
1684,FIRE INSPECTOR-CODE ENFORCEMENT,1
1685,FIRE INSPECTOR-PT,1
1686,FIRE INSPECTOR/CODE ENFORCEMENT,2
1687,FIRE INSPECTOR/DEPUTY FIRE MARSHAL,1
1688,FIRE INSPECTOR/INVESTIGATOR,10
1689,FIRE INSPECTOR/INVESTIGATOR I,11
1690,FIRE INSPECTOR/INVESTIGATOR II,12
1691,FIRE INSPECTOR/PLANS EXAMINER,2
1692,FIRE INSPECTOR/SAFETY,2
1693,FIRE INSPECTOR2,2
1694,FIRE INSTRUCTOR,4
1695,FIRE INSTRUCTOR EXTRA HELP,167
1696,FIRE INTERN,26
1697,FIRE INTERN (PART-TIME),1
1698,FIRE INTERN I PT,8
1699,FIRE INTERN P/T,6
1700,FIRE INVESTIGATION SUPERVISOR,2
1701,FIRE INVESTIGATION SUPERVISOR - 40 HR,1
1702,FIRE INVESTIGATION SUPERVISOR - 53 HR,6
1703,FIRE INVESTIGATION UNIT S,1
1704,FIRE INVESTIGATION UNIT SUPER,10
1705,FIRE INVESTIGATOR,50
1706,FIRE INVESTIGATOR - 56 HOUR,9
1707,FIRE INVESTIGATOR I,49
1708,FIRE INVESTIGATOR II,10
1709,FIRE INVESTIGATOR SPECIALIST,28
1710,FIRE INVESTIGATOR SPECIALISTIALIST,2
1711,FIRE INVESTIGATOR/CAPTAIN,8
1712,FIRE IS TECHNICIAN,3
1713,FIRE LIAISON FULL TIME,2
1714,FIRE LIEUTENANT,702
1715,FIRE LIEUTENANT (PARAMEDIC),1
1716,FIRE LIEUTENANT /PARAMEDIC,3
1717,FIRE LIEUTENANT 4%,5
1718,FIRE LIEUTENANT 40 HR,2
1719,FIRE LIEUTENANT 5%,5
1720,FIRE LIEUTENANT-5%+12%,2
1721,FIRE LIEUTENANT/PARA,2
1722,FIRE LIEUTENANT/PARAMEDIC,14
1723,FIRE LIEUTENENT (PARAMEDIC),1
1724,FIRE LIFE SAFETY INSPECTOR,2
1725,FIRE LIFE SAFETY PT,4
1726,FIRE LINE BATT CHF 112 HR,10
1727,FIRE LINE BATT CHF 112 HR (MEDICARE-EXEMPT),1
1728,FIRE LINE BATTALION CHIEF,3
1729,FIRE LINE BATTALION CHIEF - 112 HOURS,3
1730,FIRE LOGISTICS II FULL TIME,3
1731,FIRE MAINTENANCE WORKER,2
1732,FIRE MARHSAL,1
1733,FIRE MARSHAL,440
1734,FIRE MARSHAL  AMPR,1
1735,FIRE MARSHAL (40 HR),9
1736,FIRE MARSHAL (40 HR.),1
1737,FIRE MARSHAL (NON SWORN),3
1738,FIRE MARSHAL (NON-SWORN),4
1739,FIRE MARSHAL ADMINISTRATION,1
1740,FIRE MARSHAL B/A 5%,3
1741,FIRE MARSHAL DEPUTY,2
1742,FIRE MARSHAL NON-SAFETY,6
1743,FIRE MARSHAL NS,5
1744,FIRE MARSHAL PART-TIME,6
1745,FIRE MARSHAL PT,1
1746,FIRE MARSHAL TEMP PT,1
1747,FIRE MARSHAL TEMPORARY PART TIME,1
1748,FIRE MARSHAL-6957,1
1749,FIRE MARSHAL-ADMINISTRATION,1
1750,FIRE MARSHAL-TEMPORARY,1
1751,FIRE MARSHAL/ RETIRED ANNUITANT,1
1752,FIRE MARSHAL/BATT CHIEF,2
1753,FIRE MARSHAL/CAPTAIN,12
1754,FIRE MARSHAL/CODE COM/HAZMAT,7
1755,FIRE MARSHAL/DEP CHIEF,3
1756,FIRE MARSHAL/DIV CHI,1
1757,FIRE MARSHAL/DIVISION CHIEF,2
1758,FIRE MARSHAL/HAZ MAT MANAGER,1
1759,FIRE MARSHAL/TRAINING OFFICER,23
1760,FIRE MARSHALL,130
1761,FIRE MARSHALL / FIRE PREVENTION SERVICES CHIEF,1
1762,FIRE MARSHALL CODE COMPLIANCE OFFICER,1
1763,FIRE MARSHALL I,1
1764,FIRE MARSHALL II,1
1765,FIRE MARSHALL III,1
1766,FIRE MARSHALL L,1
1767,FIRE MARSHALL LL,1
1768,FIRE MARSHALL LLL,1
1769,FIRE MARSHALL SR,2
1770,"FIRE MARSHALL, ASSISTANT",1
1771,"FIRE MARSHALL, P/T",2
1772,FIRE MARSHALL/BATT CHIEF,2
1773,FIRE MARSHALL/DEP CHIEF,1
1774,FIRE MARSHALL/DEPUTY CHIEF,1
1775,FIRE MARSHALL/DIV. CHIEF-ADMIN,1
1776,FIRE MARSHALL/DIVISION CHIEF,1
1777,FIRE MASHAL,1
1778,FIRE MASTER MECHANIC,22
1779,FIRE MECHANIC,69
1780,FIRE MECHANIC I,7
1781,FIRE MECHANIC II,15
1782,FIRE MECHANIC IV,1
1783,FIRE MEDICAL COORDINATOR,10
1784,FIRE MILLBRAE DEPUTY CHIEF,1
1785,FIRE NETWORK ADMIN,2
1786,FIRE NETWORK ADMINISTRATOR,1
1787,FIRE OFFICE CLERK,1
1788,FIRE OFFICE SPECIALIST II,3
1789,FIRE OFFICER I,12
1790,FIRE OFFICER II,5
1791,FIRE OPERATIONS AND MAINTENANCE WORKER,7
1792,FIRE OPERATIONS BATTALION CHIEF,31
1793,FIRE OPERATIONS DIVISION CHIEF,1
1794,FIRE OPERATIONS/TRAINING DIVISION CHIEF,1
1795,FIRE OPS CHIEF,2
1796,FIRE OPS DIV CHIEF,5
1797,FIRE OPS DIV. CHIEF,2
1798,FIRE OPS DIVISION CHIEF,2
1799,FIRE PARAMEDIC,277
1800,FIRE PARAMEDIC    112 HRS,127
1801,FIRE PARAMEDIC    80/112 HRS,1
1802,FIRE PARAMEDIC - 112 HOURS,24
1803,FIRE PARAMEDIC 112HR,98
1804,FIRE PARAMEDIC/AA,18
1805,FIRE PARAMEDIC/BA,20
1806,FIRE PARAMEDIC/BB,10
1807,FIRE PER DIEM,5
1808,FIRE PERMIT TECHNICIAN,18
1809,FIRE PERMIT TECHNICIAN II,4
1810,FIRE PERSONNEL OPERATIONS SPEC,11
1811,FIRE PLAN CHECK ENGINEER,8
1812,FIRE PLAN CHECK ENGR,2
1813,FIRE PLAN CHECK PART-TIME,5
1814,FIRE PLAN CHECKER,3
1815,FIRE PLAN CHECKER - PART TIME,2
1816,FIRE PLAN DRAFTSPERSON,10
1817,FIRE PLANNING AND PREVENTION,1
1818,FIRE PLANS EXAMINER,15
1819,FIRE PLANS EXAMINER/INSPECTOR,9
1820,FIRE PLANS EXAMINER/SYSTEMS INSPECTOR,2
1821,FIRE PREV DIV CHIEF,4
1822,FIRE PREV DIV. CHIEF,1
1823,FIRE PREV ENG/INVEST,3
1824,FIRE PREV ENGINEER/INVEST,1
1825,FIRE PREV HAZMAT SPECIALIST,6
1826,FIRE PREV INSP I,8
1827,FIRE PREV INSP II,8
1828,FIRE PREV INSPECTOR,18
1829,FIRE PREV INSPECTOR I,4
1830,FIRE PREV INSPECTOR I PDM,23
1831,FIRE PREV INSPECTOR I PER DIEM,1
1832,FIRE PREV OFFICER,2
1833,FIRE PREV PLANS EXAM NS,3
1834,FIRE PREV SPEC NS,1
1835,FIRE PREV SPECIALIST,3
1836,FIRE PREV SPECIALIST  I,1
1837,FIRE PREV. INSPECTOR NON-SAFETY,3
1838,FIRE PREV.INSPECTOR,2
1839,FIRE PREV.INSPECTOR NON-SAFETY,4
1840,FIRE PREV/ASSISTANT CHIEF,1
1841,"FIRE PREVENT BUREAU INSPECT, CIVIL",91
1842,FIRE PREVENT INSP (40 HR) EMT,1
1843,FIRE PREVENT INSPECT - PT,7
1844,FIRE PREVENT SPECIAL,7
1845,FIRE PREVENTION,9
1846,FIRE PREVENTION - INTERN,1
1847,FIRE PREVENTION AIDE,19
1848,FIRE PREVENTION AIDE (HOURLY),1
1849,FIRE PREVENTION AIDE (HRLY),5
1850,FIRE PREVENTION ANALYST,32
1851,FIRE PREVENTION ASSISTANT,16
1852,FIRE PREVENTION ASSISTANT-PT,3
1853,FIRE PREVENTION ASSISTANT-PT.,1
1854,FIRE PREVENTION BATTALION CHIEF,1
1855,FIRE PREVENTION BUREAU MANAGER,5
1856,FIRE PREVENTION CAPTAIN,59
1857,FIRE PREVENTION CHIEF,3
1858,FIRE PREVENTION COORDINATOR,18
1859,FIRE PREVENTION COORDINATOR - STEP 5,2
1860,FIRE PREVENTION DIV CHIEF,2
1861,FIRE PREVENTION DIVISION CHIEF,1
1862,FIRE PREVENTION ENGINEER,13
1863,FIRE PREVENTION ENGINEERING ASSISTANT I,30
1864,FIRE PREVENTION ENGINEERING ASSISTANT II,254
1865,FIRE PREVENTION ENGINEERING ASST I,3
1866,FIRE PREVENTION ENGINEERING ASST II,28
1867,FIRE PREVENTION HAZARDOUS MATERIALS SPECIALIST,3
1868,FIRE PREVENTION HRS,1
1869,FIRE PREVENTION II,2
1870,FIRE PREVENTION INSP,1
1871,FIRE PREVENTION INSP (40 HR),7
1872,FIRE PREVENTION INSP.,2
1873,FIRE PREVENTION INSP.       (40 HR),7
1874,FIRE PREVENTION INSP. (40 HR.),3
1875,FIRE PREVENTION INSPC NONSWN,6
1876,FIRE PREVENTION INSPC SWORN,4
1877,FIRE PREVENTION INSPCTR 2,41
1878,FIRE PREVENTION INSPCTR 2/CIV,16
1879,FIRE PREVENTION INSPECT II,3
1880,FIRE PREVENTION INSPECTOR,281
1881,FIRE PREVENTION INSPECTOR        REG HRS *,9
1882,FIRE PREVENTION INSPECTOR        REG HRS. *,2
1883,FIRE PREVENTION INSPECTOR       (40 HR),3
1884,FIRE PREVENTION INSPECTOR - PART-TIME,3
1885,FIRE PREVENTION INSPECTOR 2,73
1886,FIRE PREVENTION INSPECTOR 2/CIV,35
1887,FIRE PREVENTION INSPECTOR FLEX,4
1888,FIRE PREVENTION INSPECTOR I,56
1889,FIRE PREVENTION INSPECTOR I  NCEA,5
1890,FIRE PREVENTION INSPECTOR I - PLACEHOLDER,1
1891,FIRE PREVENTION INSPECTOR I -PLACEHOLDER,1
1892,FIRE PREVENTION INSPECTOR I PER DIEM,7
1893,FIRE PREVENTION INSPECTOR I RE,3
1894,FIRE PREVENTION INSPECTOR II,149
1895,FIRE PREVENTION INSPECTOR II  NCEA,7
1896,FIRE PREVENTION INSPECTOR II/CIV,13
1897,FIRE PREVENTION INSPECTOR II/CIVIL,22
1898,FIRE PREVENTION INSPECTOR II/CIVILIAN,11
1899,FIRE PREVENTION INSPECTOR III,15
1900,FIRE PREVENTION INSPECTOR III  NCEA,4
1901,FIRE PREVENTION INSPECTOR LL,3
1902,FIRE PREVENTION INSPECTOR REG HOURS *,3
1903,FIRE PREVENTION INSPECTOR REG HRS,3
1904,FIRE PREVENTION INSPECTOR-REG HRS *,2
1905,FIRE PREVENTION MANAGER,13
1906,FIRE PREVENTION OFCR,3
1907,FIRE PREVENTION OFF I,2
1908,FIRE PREVENTION OFFICER,108
1909,FIRE PREVENTION OFFICER 2,1
1910,FIRE PREVENTION OFFICER I,32
1911,FIRE PREVENTION OFFICER II,88
1912,FIRE PREVENTION OFFICER IL,4
1913,FIRE PREVENTION OFFICER NS,50
1914,FIRE PREVENTION PER DIEM,1
1915,FIRE PREVENTION PERMIT TECHNICIAN I,11
1916,FIRE PREVENTION PLAN CHECKER - PART TIME,1
1917,FIRE PREVENTION PLAN CHECKER - PART-TIME,1
1918,FIRE PREVENTION PLANS EXAMINER,2
1919,FIRE PREVENTION PLANS EXAMINER NON SAFETY,2
1920,FIRE PREVENTION PROGRAM SPECIALIST,1
1921,FIRE PREVENTION PUBLIC EDUCATION,2
1922,FIRE PREVENTION RESERVE FIREFIGHTER,6
1923,FIRE PREVENTION SERVICES CHIEF,5
1924,FIRE PREVENTION SERVICES SPECIALIST,11
1925,FIRE PREVENTION SPEC,4
1926,FIRE PREVENTION SPEC (PT),1
1927,FIRE PREVENTION SPEC I - UF,1
1928,FIRE PREVENTION SPEC II,10
1929,FIRE PREVENTION SPEC PART-TIME,2
1930,FIRE PREVENTION SPEC.,3
1931,FIRE PREVENTION SPEC. I,1
1932,FIRE PREVENTION SPECIALIST,402
1933,FIRE PREVENTION SPECIALIST (PART-TIME),1
1934,FIRE PREVENTION SPECIALIST - CERTIFIED,4
1935,FIRE PREVENTION SPECIALIST I,56
1936,FIRE PREVENTION SPECIALIST II,84
1937,FIRE PREVENTION SPECIALIST II/FORESTER,1
1938,FIRE PREVENTION SPECIALIST LL,2
1939,FIRE PREVENTION SPECIALIST NON SAFETY,1
1940,FIRE PREVENTION SPECIALIST TE,3
1941,FIRE PREVENTION SPECIALIST-6957,1
1942,FIRE PREVENTION SPECIALIST-8546,1
1943,FIRE PREVENTION SPECIALIST/FORESTER,1
1944,FIRE PREVENTION SPECIALIST/FORESTER-8981,1
1945,FIRE PREVENTION SPECIALIST/PART-TIME HELP,1
1946,FIRE PREVENTION SUPERVISOR,43
1947,FIRE PREVENTION SUPERVISOR/CIV,5
1948,FIRE PREVENTION SUPERVISOR/CIVIL,5
1949,FIRE PREVENTION SUPERVISOR/CIVILIAN,4
1950,FIRE PREVENTION SUPV,7
1951,FIRE PREVENTION SUPV/CIV,10
1952,FIRE PREVENTION SYS ENGR,2
1953,FIRE PREVENTION TECH,25
1954,FIRE PREVENTION TECH 1 FLEX,1
1955,FIRE PREVENTION TECHNICIAN,136
1956,FIRE PREVENTION TECHNICIAN 1,3
1957,FIRE PREVENTION TECHNICIAN I,1
1958,"FIRE PREVENTION TECHNICIAN, PART-TIME",1
1959,FIRE PREVENTION TRAINEE,9
1960,FIRE PREVENTION/ASSISTANT CHIEF,6
1961,FIRE PREVENTION/ASSISTANT CHIEF P/T,2
1962,FIRE PREVENTION/ASST CHIEF,4
1963,FIRE PREVENTION/CIVIL DEFENSE ASSISTANT,5
1964,FIRE PREVENTION/ENVIRON OFFICER,10
1965,FIRE PREVENTION/ENVIRON OFFR,16
1966,FIRE PREVENTION/PUBLIC ED,3
1967,FIRE PREVENTION/PUBLIC EDUCATION,8
1968,FIRE PREVENTION/PUBLIC EDUCATION SPECIALIST,1
1969,FIRE PROGRAM ADMINISTRATOR,2
1970,FIRE PROGRAM ENGINEER,2
1971,FIRE PROGRAMS ADMINISTRATOR,1
1972,FIRE PROTECT INSPECTOR II,1
1973,FIRE PROTECTION,3
1974,FIRE PROTECTION  SPECIALIST II,2
1975,FIRE PROTECTION ANALYST,35
1976,FIRE PROTECTION ENGINEER,121
1977,FIRE PROTECTION ENGINEER II,6
1978,FIRE PROTECTION ENGINEERING ASSOCIATE I,10
1979,FIRE PROTECTION ENGINEERING ASSOCIATE II,13
1980,FIRE PROTECTION ENGINEERING ASSOCIATE IV,30
1981,FIRE PROTECTION INSPECTOR I,3
1982,FIRE PROTECTION INSPECTOR II,2
1983,FIRE PROTECTION SPEC TEMPORARY,4
1984,FIRE PROTECTION SPECIALIST,55
1985,FIRE PROTECTION SPECIALIST I,12
1986,FIRE PROTECTION SPECIALIST II,9
1987,FIRE PROTECTION SPECIALIST TEMPORARY,1
1988,FIRE PROTECTION WORKER,12
1989,FIRE PSYCHOLOGIST,12
1990,FIRE PUB EDUCATION COORDINATOR,1
1991,FIRE PUBLIC ED ASSISTANT,3
1992,FIRE PUBLIC EDUCATION ASSISTANT,2
1993,FIRE PUBLIC EDUCATION ASST,3
1994,FIRE PUBLIC EDUCATION COORDINATOR,2
1995,FIRE PUBLIC EDUCATION COORDNTR,8
1996,FIRE PUBLIC EDUCATION OFFICER,2
1997,FIRE PUBLIC INFORMATION RELATIONS COORDINATOR,3
1998,FIRE RECRUIT,475
1999,FIRE RECRUIT-56 HR WEEK,9
2000,FIRE RECRUITMENT SUPERVISOR,1
2001,FIRE RELIEF COVERAGE,34
2002,FIRE RELIEF SPECIALIST,16
2003,FIRE RESCUE PARAMEDIC,50
2004,FIRE RESERVE,196
2005,FIRE RESERVE ON CALL,21
2006,FIRE SAFE,3
2007,FIRE SAFETY ANALYST,8
2008,FIRE SAFETY COORDINATOR,10
2009,FIRE SAFETY COORDINATOR I,5
2010,FIRE SAFETY EDUCATION COORDINATOR,15
2011,FIRE SAFETY ENGINEER,6
2012,FIRE SAFETY INSP II,15
2013,FIRE SAFETY INSP II (T),1
2014,FIRE SAFETY INSPECTOR,32
2015,FIRE SAFETY INSPECTOR 2,58
2016,FIRE SAFETY INSPECTOR I,10
2017,FIRE SAFETY INSPECTOR II,119
2018,FIRE SAFETY INSPECTOR II (T),3
2019,FIRE SAFETY MARSHALL,4
2020,FIRE SAFETY OFFICER,1
2021,FIRE SAFETY PROGRAM SPECIALIST,2
2022,FIRE SAFETY SPECIALIST,273
2023,FIRE SAFETY SPECIALIST (MISC),10
2024,FIRE SAFETY SPECIALIST - NC,2
2025,FIRE SAFETY SPECIALIST I,1
2026,FIRE SAFETY SPECIALIST II,4
2027,FIRE SAFETY SPECIALIST III,8
2028,FIRE SAFETY SPECIALIST-NON CAREER,3
2029,FIRE SAFETY SUPERVISOR,69
2030,FIRE SEC,1
2031,FIRE SECRETARY,23
2032,FIRE SECRETARY - PART-TIME,1
2033,FIRE SERVICE CENTER MANAGER,9
2034,FIRE SERVICE OFFICER,1
2035,FIRE SERVICE WORKER,2
2036,FIRE SERVICEICE TECH P/T,1
2037,FIRE SERVICES ASSISTANT,9
2038,FIRE SERVICES DISPATCHER,30
2039,FIRE SERVICES FACILITY WORKER,1
2040,FIRE SERVICES MANAGER,11
2041,FIRE SERVICES OFFICER,13
2042,FIRE SERVICES SPEC,2
2043,FIRE SERVICES SPECIALIST,5
2044,FIRE SERVICES SUPERVISOR,7
2045,FIRE SERVICES TECHNICIAN I,3
2046,FIRE SERVICES TECHNICIAN II,13
2047,FIRE SERVICES TECHNICIAN II-TEMP,2
2048,FIRE SHIFT CAPTAIN,1
2049,FIRE SHOP SUPERVISOR,14
2050,FIRE SPECIAL INVESTIGATOR,35
2051,FIRE SPECIAL PROJECTS MANAGER,1
2052,FIRE SPECIAL PROJECTS MGR,1
2053,FIRE SPECIALIST,22
2054,FIRE STAFF CAPTAIN,24
2055,FIRE STAFF ENGINEER,2
2056,FIRE STATION CAPTAIN,4
2057,FIRE STATISTICAL MANAGER,5
2058,FIRE STRIKE TEAM,12
2059,FIRE SUPERVISING INSPECTOR,20
2060,FIRE SUPPORT SERVICES CLERK,7
2061,FIRE SUPPORT SERVICES MANAGER,2
2062,FIRE SUPPORT VOLUNTEER,9
2063,FIRE SUPPRESION,1
2064,FIRE SUPPRESSION,14
2065,FIRE SUPPRESSION AID,1004
2066,FIRE SUPPRESSION CAPTAIN,118
2067,FIRE SUPPRESSION DIST INSPECT PT,31
2068,FIRE SUPPRESSION DISTRICT INSPECTOR,32
2069,FIRE SVC MUTUAL AIDE SPEC I,41
2070,FIRE SVC MUTUAL AIDE SPEC II,3
2071,FIRE SVCS SPEC,3
2072,FIRE SYSTEMS INSPECTOR,154
2073,FIRE TECHNICIAN,8
2074,FIRE TECHNICIAN (P/T),1
2075,FIRE TECHNICIAN II,11
2076,FIRE TELECOM I (10/12-HR),1
2077,FIRE TELECOM I (24-HR),7
2078,FIRE TELECOM II (10/12-HR),14
2079,FIRE TELECOM II (24-HR),83
2080,FIRE TELECOM SUPERVISOR (24-HR),16
2081,FIRE TELECOM SUPV (24-HR),14
2082,FIRE TELECOMMUNICATIONS SPEC,1
2083,FIRE TRAIN COORDINATOR,2
2084,FIRE TRAINEE,41
2085,FIRE TRAINING CAPTAIN,15
2086,FIRE TRAINING CHIEF,4
2087,FIRE TRAINING COORDINATOR,5
2088,FIRE TRAINING FACILITY ADMINISTRATOR,4
2089,FIRE TRAINING MAINTENANCE TECH,9
2090,FIRE TRAINING MAINTENANCE TECHNICIAN,1
2091,FIRE TRAINING OFFICER,21
2092,FIRE TRAINING OFFICER       (40 HR),3
2093,FIRE TRAINING OFFICER (40 HR),4
2094,FIRE TRAINING OFFICER (40 HR.),1
2095,FIRE TRAINING SPECIALIST,1
2096,FIRE UTILITY WORKER I,2
2097,FIRE UTILITY WORKER I (HOURLY),5
2098,FIRE UTILITY WRKR I,7
2099,FIRE VEHICLE MAINTENANCE,2
2100,FIRE VEHICLE MECHANIC,9
2101,FIRE VOL COORDINATOR,6
2102,FIRE VOLUNTEER,36
2103,FIRE VOLUNTEER  COORDINATOR,1
2104,FIRE VOLUNTEER (AS NEEDED),32
2105,FIRE WAREHOUSE SPECIALIST,5
2106,FIRE- PART TIME,6
2107,FIRE-BAT CHIEF,28
2108,FIRE-BAT CHIEF - PT,1
2109,FIRE-BAT CHIEF - TRAINING,1
2110,FIRE-BAT CHIEF/TRAINNING OFFICER,1
2111,FIRE-BATTALION CHIEF,3
2112,FIRE-FIGHTER,29
2113,FIRE-FIGHTER PART TIME,2
2114,FIRE/BUILDING CODE COMPLIANCE OFFICER,4
2115,FIRE/EMERGENCY MEDICAL SERVICE,16
2116,FIRE/EMERGENCY MEDICAL SERVICES ANALYST,1
2117,FIRE/EMS SUPPORT SPECIALIST,3
2118,FIRE/ENGINEER TRAINEE,15
2119,FIRE/ENVIRONMENTAL SAFETY INSPECTOR I,2
2120,FIRE/ENVIRONMENTAL SAFETY INSPECTOR II,6
2121,FIRE/ENVIRONMENTAL SAFETY SPEC,12
2122,FIRE/HOUSING INSP I,2
2123,FIRE/HOUSING INSPECTOR,1
2124,FIRE/HOUSING INSPECTOR I,1
2125,FIRE/LIFE SAFETY INSPECTOR,8
2126,FIRE/LIFE SAFETY INSPECTOR-PT,3
2127,FIRE/MEDIC,7
2128,FIRE/MEDIC CAPTAIN,3
2129,FIRE/SAFETY INSPECTOR 11,1
2130,FIRE/STATION,56
2131,FIREBATTALION CHIEF/ASST CHIEF,1
2132,FIREBOAT MATE,131
2133,FIREBOAT PILOT,51
2134,FIRECAPTAIN VOLUNTEER,4
2135,FIRECH/DEP CITY MGR,1
2136,FIRECHIEF,1
2137,FIREFIGHER RESERVE,1
2138,FIREFIGHER V,15
2139,FIREFIGHER- D/O,1
2140,FIREFIGHER/PARAMEDIC,3
2141,FIREFIGHT CAPTAIN,1
2142,FIREFIGHTER,33675
2143,FIREFIGHTER                      SHIFT HRS,47
2144,FIREFIGHTER                      SHIFT HRS.,13
2145,FIREFIGHTER                 (56 HR),157
2146,FIREFIGHTER       112 HRS,132
2147,FIREFIGHTER      (RESIGNED),1
2148,FIREFIGHTER  (VOLUNTEER),1
2149,FIREFIGHTER  1,1
2150,FIREFIGHTER  112 HRS,50
2151,FIREFIGHTER  15,1
2152,FIREFIGHTER  9,1
2153,FIREFIGHTER  ENGINEER,12
2154,FIREFIGHTER  NCFA,44
2155,FIREFIGHTER  PART TIME,86
2156,FIREFIGHTER #!,1
2157,FIREFIGHTER #10,1
2158,FIREFIGHTER #11,1
2159,FIREFIGHTER #12,1
2160,FIREFIGHTER #13,1
2161,FIREFIGHTER #14,1
2162,FIREFIGHTER #2,1
2163,FIREFIGHTER #3,1
2164,FIREFIGHTER #4,1
2165,FIREFIGHTER #5,1
2166,FIREFIGHTER #7,1
2167,FIREFIGHTER #8,1
2168,FIREFIGHTER #9,1
2169,FIREFIGHTER (112 HR),252
2170,FIREFIGHTER (40 HR),1
2171,FIREFIGHTER (40HRS),3
2172,FIREFIGHTER (56 HR),154
2173,FIREFIGHTER (56 HR.),33
2174,FIREFIGHTER (80 HR),5
2175,FIREFIGHTER (ADMIN),3
2176,FIREFIGHTER (D),1
2177,FIREFIGHTER (NON-GFE),2
2178,FIREFIGHTER (P.T),2
2179,FIREFIGHTER (P/T),6
2180,FIREFIGHTER (PAID CALL),23
2181,FIREFIGHTER (PAR),1701
2182,FIREFIGHTER (PARAMEDIC-ADMIN),20
2183,FIREFIGHTER (PART TIME),14
2184,FIREFIGHTER (PERMANENT/PART TIME),3
2185,FIREFIGHTER (RESERVE),24
2186,FIREFIGHTER (S),808
2187,FIREFIGHTER (S) - PARAMEDIC,203
2188,FIREFIGHTER (SEASONAL),2
2189,FIREFIGHTER (STIPEND),36
2190,FIREFIGHTER (TEMP),3
2191,FIREFIGHTER (TEMPORARY),10
2192,FIREFIGHTER (VOL),35
2193,FIREFIGHTER (VOLUNTEER),750
2194,FIREFIGHTER + 15% ASSI,11
2195,FIREFIGHTER + 15% ASSIGNMENT,97
2196,FIREFIGHTER + 5%,8
2197,FIREFIGHTER + 5% ASSIG,5
2198,FIREFIGHTER + 5% ASSIGNMENT,19
2199,FIREFIGHTER + 7.5%,1
2200,FIREFIGHTER + PARAMEDIC,35
2201,FIREFIGHTER +10% EI,5
2202,FIREFIGHTER +3.75%,1
2203,FIREFIGHTER +5%,3
2204,FIREFIGHTER +5% EI,5
2205,FIREFIGHTER +7.5%,1
2206,FIREFIGHTER - 112 HOURS,28
2207,FIREFIGHTER - 40,1
2208,FIREFIGHTER - 40 HRS,1
2209,FIREFIGHTER - 40/HR,3
2210,FIREFIGHTER - 53 HR,131
2211,FIREFIGHTER - A,22
2212,FIREFIGHTER - BILINGUAL,1
2213,FIREFIGHTER - COVER,2
2214,FIREFIGHTER - EMERGENCY MEDICAL TECHNICIAN,10
2215,FIREFIGHTER - ENGINEER,161
2216,FIREFIGHTER - ENGINEER TRAINEE,6
2217,FIREFIGHTER - EXTRA HELP,18
2218,FIREFIGHTER - HOURLY,2
2219,FIREFIGHTER - MEDIC,10
2220,FIREFIGHTER - ON CALL,2
2221,FIREFIGHTER - OVERHIRE,1
2222,FIREFIGHTER - PAID CALL,5
2223,FIREFIGHTER - PARAMEDIC,18
2224,FIREFIGHTER - PARAMEDIC - BILINGUAL,2
2225,FIREFIGHTER - PART TIME,29
2226,FIREFIGHTER - SHIFT,76
2227,FIREFIGHTER - SHIFT HOURS,13
2228,FIREFIGHTER - SUPPRESSION,494
2229,FIREFIGHTER - VACANT,2
2230,FIREFIGHTER - VOLUNTEER,57
2231,FIREFIGHTER -PAID CALL,16
2232,FIREFIGHTER / EMERGENCY MEDICAL TECH,32
2233,FIREFIGHTER / EMT,3
2234,FIREFIGHTER / ENGINEER,162
2235,FIREFIGHTER / ENGINEER TRAINEE,1
2236,FIREFIGHTER / MEDIC,34
2237,FIREFIGHTER / OES,1
2238,FIREFIGHTER / PAID CALL,10
2239,FIREFIGHTER / PARAME,10
2240,FIREFIGHTER / PARAMEDIC,56
2241,FIREFIGHTER / PARAMEDIC II,8
2242,FIREFIGHTER / SEASONAL,3
2243,FIREFIGHTER / TRAINEE,1
2244,FIREFIGHTER /EMT (VOLUNTEER),1
2245,FIREFIGHTER /EMT B,6
2246,FIREFIGHTER /SEASONAL,2
2247,FIREFIGHTER 1,13
2248,FIREFIGHTER 1 (VOLUNTEER),11
2249,FIREFIGHTER 1/EMERGENCY MEDICAL TECHNICIAN-B,4
2250,FIREFIGHTER 1/EMT-B,24
2251,FIREFIGHTER 1/PARAMEDIC,12
2252,FIREFIGHTER 10,7
2253,FIREFIGHTER 11,19
2254,FIREFIGHTER 112,121
2255,FIREFIGHTER 112 HRS,3
2256,FIREFIGHTER 12,7
2257,FIREFIGHTER 13,7
2258,FIREFIGHTER 14,6
2259,FIREFIGHTER 15,4
