agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2.1,senate_requestor4,party
Army Corps of Engineers (Civil),2500000,,H,Calvert,,,,,,,R
Army Corps of Engineers (Civil),2700000,,H,Mrvan,,,,,,,D
Army Corps of Engineers (Civil),3000000,,H,Cohen,,,,,,,D
Army Corps of Engineers (Civil),3375000,,H,Kaptur,,,,,,,D
Army Corps of Engineers (Civil),4000000,,H,Stanton,,,,,,,D
Army Corps of Engineers (Civil),4800000,,H,Mast,,,,,,,R
Army Corps of Engineers (Civil),5000000,,H,Cole,,,,,,,R
Army Corps of Engineers (Civil),5750000,,H,Mast,,,,,,,R
Army Corps of Engineers (Civil),8000000,,H,Pallone,,,,,,,D
Army Corps of Engineers (Civil),8500000,,H,Zeldin,,,,,,,R
Army Corps of Engineers (Civil),10000000,,H,Mrvan,,,,,,,D
Army Corps of Engineers (Civil),10549000,,H,Mast,,,,,,,R
Army Corps of Engineers (Civil),15500000,,H,Steel,,,,,,,R
Army Corps of Engineers (Civil),18395000,,H,Mrvan,,,,,,,D
Army Corps of Engineers (Civil),350000000,,H,Mast,,,,,,,R
Army Corps of Engineers (Civil),1693000,,H,Gomez,,,,,,,D
Army Corps of Engineers (Civil),1561000,,H,Mrvan,,,,,,,D
Army Corps of Engineers (Civil),8196000,,H,Mrvan,,,,,,,D
Army Corps of Engineers (Civil),1332000,,H,Letlow,,,,,,,R
Army Corps of Engineers (Civil),4010000,,H,Van Drew,,,,,,,R
Army Corps of Engineers (Civil),918000,,H,Herrera Beutler,,,,,,,R
FEMA,138557,,H,Neguse,,,,,,,D
FEMA,1650000,,H,Kilmer,,,,,,,D
Department of Transportation,30000,,H,Cawthorn,,,,,,,R
Small Business Administration,50000,,H,Upton,,,,,,,R
Forest Service,50000,,H,Grijalva,,,,,,,D
Environmental Protection Agency,68000,,H,Rouzer,,,,,,,R
Small Business Administration,80000,,H,Newman,,,,,,,D
Environmental Protection Agency,80000,,H,Lamb,,,,,,,D
Small Business Administration,100000,,H,Bourdeaux,,,,,,,D
Environmental Protection Agency,100000,,H,McKinley,,,,,,,R
Forest Service,120000,,H,Sarbanes,,,,,,,D
Department of Transportation,135000,,H,Balderson,,,,,,,R
Department of Transportation,136330,,H,Sherrill,,,,,,,D
Small Business Administration,138000,,H,Sherman,,,,,,,D
Department of Transportation,142500,,H,Titus,,,,,,,D
Environmental Protection Agency,147000,,H,Cleaver,,,,,,,D
Small Business Administration,149324,,H,Evans,,,,,,,D
Department of Transportation,150000,,H,McBath,,,,,,,D
Small Business Administration,175000,,H,Bonamici,,,,,,,D
Small Business Administration,180644,,H,DelBene,,,,,,,D
Environmental Protection Agency,185000,,H,Walberg,,,,,,,R
Small Business Administration,200000,,H,Lawrence,,,,,,,D
Small Business Administration,200000,,H,Lawrence,,,,,,,D
Small Business Administration,200000,,H,Panetta,,,,,,,D
Department of Transportation,200000,,H,Krishnamoorthi,,,,,,,D
Environmental Protection Agency,225000,,H,Schrier,,,,,,,D
Environmental Protection Agency,230400,,H,McKinley,,,,,,,R
Environmental Protection Agency,240000,,H,Bilirakis,,,,,,,R
Small Business Administration,250000,,H,McBath,,,,,,,D
Small Business Administration,250000,,H,Yarmuth,,,,,,,D
Department of Transportation,265000,,H,Carl,,,,,,,R
Department of Transportation,270000,,H,Perlmutter,,,,,,,D
Environmental Protection Agency,277804,,H,Kuster,,,,,,,D
Environmental Protection Agency,279664,,H,Costa,,,,,,,D
Department of Transportation,290250,,H,Kuster,,,,,,,D
Department of Transportation,294700,,H,Vargas,,,,,,,D
Small Business Administration,300000,,H,McGovern,,,,,,,D
Small Business Administration,300000,,H,Ross,,,,,,,D
Environmental Protection Agency,300000,,H,Suozzi,,,,,,,D
Forest Service,300000,,H,Case,,,,,,,D
Department of Transportation,300000,,H,Kuster,,,,,,,D
Department of Transportation,300000,,H,Beyer,,,,,,,D
Small Business Administration,312744,,H,Ryan,,,,,,,D
Department of Transportation,320000,,H,Bera,,,,,,,D
Department of Transportation,325000,,H,Beyer,,,,,,,D
Small Business Administration,330000,,H,Yarmuth,,,,,,,D
Department of Transportation,350000,,H,Kuster,,,,,,,D
Environmental Protection Agency,352000,,H,Trahan,,,,,,,D
Forest Service,358000,,H,Neguse,,,,,,,D
Environmental Protection Agency,360000,,H,Malinowski,,,,,,,D
Department of Transportation,394800,,H,Kuster,,,,,,,D
Environmental Protection Agency,398700,,H,Reed,,,,,,,R
Environmental Protection Agency,400000,,H,Panetta,,,,,,,D
Environmental Protection Agency,400000,,H,Deutch,,,,,,,D
Environmental Protection Agency,400000,,H,Guthrie,,,,,,,R
Environmental Protection Agency,400000,,H,Latta,,,,,,,R
Environmental Protection Agency,400000,,H,Beyer,,,,,,,D
Environmental Protection Agency,400000,,H,Guthrie,,,,,,,R
Environmental Protection Agency,400000,,H,Lamb,,,,,,,D
Department of Transportation,424000,,H,Hayes,,,,,,,D
Small Business Administration,437200,,H,Titus,,,,,,,D
Department of Transportation,444946,,H,Hayes,,,,,,,D
Environmental Protection Agency,450000,,H,Wenstrup,,,,,,,R
Small Business Administration,474355,,H,Sewell,,,,,,,D
Environmental Protection Agency,475000,,H,Himes,,,,,,,D
Environmental Protection Agency,480000,,H,Hayes,,,,,,,D
Environmental Protection Agency,480000,,H,Yarmuth,,,,,,,D
Environmental Protection Agency,480000,,H,Reed,,,,,,,R
Environmental Protection Agency,480000,,H,Sewell,,,,,,,D
Small Business Administration,500000,,H,Case,,,,,,,D
Small Business Administration,500000,,H,Salazar,,,,,,,R
Small Business Administration,500000,,H,Stanton,,,,,,,D
Small Business Administration,500000,,H,Vela,,,,,,,D
Environmental Protection Agency,500000,,H,Salazar,,,,,,,R
Environmental Protection Agency,500000,,H,Sarbanes,,,,,,,D
Environmental Protection Agency,500000,,H,Brownley,,,,,,,D
Environmental Protection Agency,500000,,H,Reschenthaler,,,,,,,R
Environmental Protection Agency,500000,,H,Vela,,,,,,,D
Forest Service,500000,,H,Eshoo,,,,,,,D
Department of Transportation,500000,,H,Casten,,,,,,,D
Department of Transportation,500000,,H,Palazzo,,,,,,,R
Department of Transportation,501824,,H,Gallego,,,,,,,D
Department of Transportation,532240,,H,Sires,,,,,,,D
Environmental Protection Agency,560800,,H,Underwood,,,,,,,D
Department of Transportation,598000,,H,Horsford,,,,,,,D
Environmental Protection Agency,600000,,H,Pappas,,,,,,,D
Environmental Protection Agency,600000,,H,Suozzi,,,,,,,D
Environmental Protection Agency,600000,,H,Axne,,,,,,,D
Environmental Protection Agency,600000,,H,Pappas,,,,,,,D
Environmental Protection Agency,600000,,H,Tenney,,,,,,,R
Department of Transportation,600000,,H,Deutch,,,,,,,D
Department of Transportation,600000,,H,McBath,,,,,,,D
Department of Transportation,600000,,H,Miller-Meeks,,,,,,,R
Department of Transportation,600000,,H,Kuster,,,,,,,D
Environmental Protection Agency,606000,,H,Salazar,,,,,,,R
Department of Transportation,614000,,H,Casten,,,,,,,D
Department of Transportation,615000,,H,Perlmutter,,,,,,,D
Department of Transportation,615000,,H,Hinson,,,,,,,R
Environmental Protection Agency,624835,,H,Fletcher,,,,,,,D
Forest Service,625000,,H,Watson Coleman,,,,,,,D
Department of Transportation,633050,,H,Carl,,,,,,,R
Environmental Protection Agency,640000,,H,Newman,,,,,,,D
Department of Transportation,645609,,H,Houlahan,,,,,,,D
Department of Transportation,650000,,H,Quigley,,,,,,,D
Environmental Protection Agency,665000,,H,Demings,,,,,,,D
Department of Transportation,680000,,H,Newman,,,,,,,D
Department of Transportation,682080,,H,Mrvan,,,,,,,D
Environmental Protection Agency,700000,,H,Sewell,,,,,,,D
Environmental Protection Agency,700000,,H,Crist,,,,,,,D
Department of Transportation,700000,,H,Simpson,,,,,,,R
Department of Transportation,702941,,H,Carl,,,,,,,R
Environmental Protection Agency,720000,,H,Steube,,,,,,,R
Environmental Protection Agency,740000,,H,Neal,,,,,,,D
Small Business Administration,750000,,H,Cohen,,,,,,,D
Environmental Protection Agency,750000,,H,Diaz-Balart,,,,,,,R
Environmental Protection Agency,750000,,H,Barr,,,,,,,R
Forest Service,750000,,H,Eshoo,,,,,,,D
Forest Service,750000,,H,Sherman,,,,,,,D
Forest Service,750000,,H,Schrier,,,,,,,D
Department of Transportation,750000,,H,Trahan,,,,,,,D
Department of Transportation,757803,,H,Obernolte,,,,,,,R
Environmental Protection Agency,760000,,H,Pallone,,,,,,,D
Department of Transportation,760000,,H,Demings,,,,,,,D
Environmental Protection Agency,780000,,H,Calvert,,,,,,,R
Environmental Protection Agency,782000,,H,Fletcher,,,,,,,D
Environmental Protection Agency,785000,,H,Casten,,,,,,,D
Small Business Administration,800000,,H,Van Drew,,,,,,,R
Environmental Protection Agency,800000,,H,Speier,,,,,,,D
Environmental Protection Agency,800000,,H,Speier,,,,,,,D
Environmental Protection Agency,800000,,H,Obernolte,,,,,,,R
Environmental Protection Agency,800000,,H,Sherrill,,,,,,,D
Department of Transportation,800000,,H,Eshoo,,,,,,,D
Department of Transportation,800000,,H,Soto,,,,,,,D
Department of Transportation,800000,,H,Beyer,,,,,,,D
Environmental Protection Agency,840000,,H,Schrier,,,,,,,D
Department of Transportation,850000,,H,Miller-Meeks,,,,,,,R
Department of Transportation,867648,,H,Garamendi,,,,,,,D
Department of Transportation,880000,,H,Khanna,,,,,,,D
Environmental Protection Agency,900000,,H,Deutch,,,,,,,D
Environmental Protection Agency,900000,,H,Ross,,,,,,,D
Department of Transportation,900000,,H,Kinzinger,,,,,,,R
Department of Transportation,915000,,H,O'Halleran,,,,,,,D
Department of Transportation,935000,,H,Wexton,,,,,,,D
Environmental Protection Agency,940000,,H,Waters,,,,,,,D
Small Business Administration,952394,,H,Sablan,,,,,,,D
Department of Transportation,958218,,H,Pressley,,,,,,,D
Environmental Protection Agency,960000,,H,Obernolte,,,,,,,R
Environmental Protection Agency,960000,,H,Plaskett,,,,,,,D
Department of Transportation,960000,,H,Stanton,,,,,,,D
Small Business Administration,971977,,H,Payne,,,,,,,D
Environmental Protection Agency,996160,,H,Harshbarger,,,,,,,R
Environmental Protection Agency,999999,,H,Lamb,,,,,,,D
Small Business Administration,1000000,,H,Blunt Rochester,,,,,,,D
Small Business Administration,1000000,,H,Cartwright,,,,,,,D
Small Business Administration,1000000,,H,Clyburn,,,,,,,D
Small Business Administration,1000000,,H,Krishnamoorthi,,,,,,,D
Small Business Administration,1000000,,H,McCollum,,,,,,,D
Small Business Administration,1000000,,H,McNerney,,,,,,,D
Small Business Administration,1000000,,H,Stefanik,,,,,,,R
Small Business Administration,1000000,,H,Tlaib,,,,,,,D
Small Business Administration,1000000,,H,Trahan,,,,,,,D
Small Business Administration,1000000,,H,Turner,,,,,,,R
Environmental Protection Agency,1000000,,H,Panetta,,,,,,,D
Environmental Protection Agency,1000000,,H,Steube,,,,,,,R
Environmental Protection Agency,1000000,,H,Axne,,,,,,,D
Environmental Protection Agency,1000000,,H,Neal,,,,,,,D
Environmental Protection Agency,1000000,,H,Raskin,,,,,,,D
Environmental Protection Agency,1000000,,H,McClain,,,,,,,R
Environmental Protection Agency,1000000,,H,McClain,,,,,,,R
Environmental Protection Agency,1000000,,H,Rouzer,,,,,,,R
Environmental Protection Agency,1000000,,H,Rouzer,,,,,,,R
Environmental Protection Agency,1000000,,H,Jones,,,,,,,D
Environmental Protection Agency,1000000,,H,Doggett,,,,,,,D
Environmental Protection Agency,1000000,,H,Roybal-Allard,,,,,,,D
Environmental Protection Agency,1000000,,H,Peters,,,,,,,D
Environmental Protection Agency,1000000,,H,Takano,,,,,,,D
Environmental Protection Agency,1000000,,H,Diaz-Balart,,,,,,,R
Environmental Protection Agency,1000000,,H,Steube,,,,,,,R
Environmental Protection Agency,1000000,,H,McClain,,,,,,,R
Environmental Protection Agency,1000000,,H,Upton,,,,,,,R
Environmental Protection Agency,1000000,,H,Bonamici,,,,,,,D
Department of Transportation,1000000,,H,Hinson,,,,,,,R
Department of Transportation,1000000,,H,Speier,,,,,,,D
Department of Transportation,1000000,,H,Obernolte,,,,,,,R
Department of Transportation,1000000,,H,Panetta,,,,,,,D
Department of Transportation,1000000,,H,Steube,,,,,,,R
Department of Transportation,1000000,,H,Axne,,,,,,,D
Department of Transportation,1000000,,H,Quigley,,,,,,,D
Department of Transportation,1000000,,H,Yarmuth,,,,,,,D
Department of Transportation,1000000,,H,Emmer,,,,,,,R
Department of Transportation,1000000,,H,Jones,,,,,,,D
Department of Transportation,1000000,,H,Reschenthaler,,,,,,,R
Department of Transportation,1000000,,H,Doggett,,,,,,,D
Department of Transportation,1000000,,H,Beyer,,,,,,,D
Environmental Protection Agency,1080000,,H,Casten,,,,,,,D
Environmental Protection Agency,1105000,,H,Escobar,,,,,,,D
Environmental Protection Agency,1105166,,H,Gottheimer,,,,,,,D
Environmental Protection Agency,1120000,,H,Plaskett,,,,,,,D
Environmental Protection Agency,1120000,,H,McKinley,,,,,,,R
Department of Transportation,1126734,,H,Schneider,,,,,,,D
Environmental Protection Agency,1200000,,H,Bustos,,,,,,,D
Environmental Protection Agency,1200000,,H,Plaskett,,,,,,,D
Department of Transportation,1200000,,H,DeSaulnier,,,,,,,D
Environmental Protection Agency,1250000,,H,Young,,,,,,,R
Environmental Protection Agency,1393682,,H,Pascrell,,,,,,,D
Department of Transportation,1400000,,H,Himes,,,,,,,D
Department of Transportation,1427500,,H,Malinowski,,,,,,,D
Department of Transportation,1435000,,H,Adams,,,,,,,D
Department of Transportation,1440000,,H,Bergman,,,,,,,R
Environmental Protection Agency,1475000,,H,Auchincloss,,,,,,,D
Environmental Protection Agency,1479355,,H,Kilmer,,,,,,,D
Environmental Protection Agency,1500000,,H,Bilirakis,,,,,,,R
Environmental Protection Agency,1500000,,H,Demings,,,,,,,D
Environmental Protection Agency,1500000,,H,Wasserman Schultz,,,,,,,D
Environmental Protection Agency,1500000,,H,Auchincloss,,,,,,,D
Environmental Protection Agency,1500000,,H,Stewart,,,,,,,R
Department of Transportation,1500000,,H,Upton,,,,,,,R
Department of Transportation,1500000,,H,Reschenthaler,,,,,,,R
Department of Transportation,1500000,,H,Doggett,,,,,,,D
Environmental Protection Agency,1520000,,H,Cicilline,,,,,,,D
Environmental Protection Agency,1585000,,H,Schrier,,,,,,,D
Environmental Protection Agency,1600000,,H,Salazar,,,,,,,R
Environmental Protection Agency,1600000,,H,Crenshaw,,,,,,,R
Environmental Protection Agency,1600000,,H,Crenshaw,,,,,,,R
Department of Transportation,1600000,,H,Axne,,,,,,,D
Department of Transportation,1600000,,H,Fleischmann,,,,,,,R
Environmental Protection Agency,1636364,,H,Doggett,,,,,,,D
Environmental Protection Agency,1673600,,H,Crenshaw,,,,,,,R
Environmental Protection Agency,1700000,,H,Miller-Meeks,,,,,,,R
Environmental Protection Agency,1700000,,H,Sessions,,,,,,,R
Environmental Protection Agency,1700000,,H,LaHood,,,,,,,R
Department of Transportation,1700000,,H,Swalwell,,,,,,,D
Environmental Protection Agency,1750000,,H,Bilirakis,,,,,,,R
Environmental Protection Agency,1760000,,H,Walberg,,,,,,,R
Environmental Protection Agency,1772800,,H,Wasserman Schultz,,,,,,,D
Department of Transportation,1800000,,H,Matsui,,,,,,,D
Department of Transportation,1827000,,H,Moolenaar,,,,,,,R
Environmental Protection Agency,1840000,,H,Spanberger,,,,,,,D
Environmental Protection Agency,1897001,,H,Butterfield,,,,,,,D
Environmental Protection Agency,1932000,,H,Obernolte,,,,,,,R
Environmental Protection Agency,1950000,,H,Jackson Lee,,,,,,,D
Environmental Protection Agency,2000000,,H,Matsui,,,,,,,D
Environmental Protection Agency,2000000,,H,Buchanan,,,,,,,R
Environmental Protection Agency,2000000,,H,Wasserman Schultz,,,,,,,D
Environmental Protection Agency,2000000,,H,Steube,,,,,,,R
Environmental Protection Agency,2000000,,H,Quigley,,,,,,,D
Environmental Protection Agency,2000000,,H,Letlow,,,,,,,R
Environmental Protection Agency,2000000,,H,Auchincloss,,,,,,,D
Environmental Protection Agency,2000000,,H,Stevens,,,,,,,D
Department of Transportation,2000000,,H,Mrvan,,,,,,,D
Department of Transportation,2000000,,H,Eshoo,,,,,,,D
Department of Transportation,2000000,,H,Obernolte,,,,,,,R
Department of Transportation,2000000,,H,Obernolte,,,,,,,R
Department of Transportation,2000000,,H,Himes,,,,,,,D
Department of Transportation,2000000,,H,Loudermilk,,,,,,,R
Department of Transportation,2000000,,H,Miller-Meeks,,,,,,,R
Department of Transportation,2000000,,H,Guthrie,,,,,,,R
Department of Transportation,2000000,,H,Guthrie,,,,,,,R
Department of Transportation,2000000,,H,Slotkin,,,,,,,D
Department of Transportation,2000000,,H,Lucas,,,,,,,R
Department of Transportation,2000000,,H,Schrader,,,,,,,D
Department of Transportation,2000000,,H,Wexton,,,,,,,D
Department of Transportation,2150000,,H,Vargas,,,,,,,D
Department of Transportation,2187628,,H,Himes,,,,,,,D
Department of Transportation,2250000,,H,DeLauro,,,,,,,D
Department of Transportation,2320000,,H,Perlmutter,,,,,,,D
Environmental Protection Agency,2400000,,H,Wexton,,,,,,,D
Environmental Protection Agency,2432000,,H,McEachin,,,,,,,D
Environmental Protection Agency,2500000,,H,Calvert,,,,,,,R
Environmental Protection Agency,2500000,,H,Miller-Meeks,,,,,,,R
Environmental Protection Agency,2500000,,H,Pressley,,,,,,,D
Department of Transportation,2500000,,H,Bost,,,,,,,R
Department of Transportation,2500000,,H,Bost,,,,,,,R
Environmental Protection Agency,2578000,,H,Buchanan,,,,,,,R
Department of Transportation,2675000,,H,Meuser,,,,,,,R
Environmental Protection Agency,2770000,,H,Palazzo,,,,,,,R
Department of Transportation,2800000,,H,Cleaver,,,,,,,D
Environmental Protection Agency,2840000,,H,Brownley,,,,,,,D
Department of Transportation,2929745,,H,Wenstrup,,,,,,,R
Environmental Protection Agency,3000000,,H,McNerney,,,,,,,D
Environmental Protection Agency,3000000,,H,Salazar,,,,,,,R
Environmental Protection Agency,3000000,,H,Stewart,,,,,,,R
Environmental Protection Agency,3000000,,H,Wexton,,,,,,,D
Department of Transportation,3000000,,H,Valadao,,,,,,,R
Department of Transportation,3000000,,H,Valadao,,,,,,,R
Department of Transportation,3000000,,H,Khanna,,,,,,,D
Department of Transportation,3000000,,H,LaHood,,,,,,,R
Department of Transportation,3000000,,H,Balderson,,,,,,,R
Department of Transportation,3000000,,H,Cooper,,,,,,,D
Department of Transportation,3000000,,H,Sessions,,,,,,,R
Department of Transportation,3000000,,H,Sessions,,,,,,,R
Department of Transportation,3000000,,H,Sessions,,,,,,,R
Department of Transportation,3000000,,H,Stewart,,,,,,,R
Environmental Protection Agency,3200000,,H,Steube,,,,,,,R
Environmental Protection Agency,3200000,,H,McEachin,,,,,,,D
Environmental Protection Agency,3200000,,H,McEachin,,,,,,,D
Department of Transportation,3267000,,H,Axne,,,,,,,D
Department of Transportation,3332781,,H,Vargas,,,,,,,D
Environmental Protection Agency,3394000,,H,Crenshaw,,,,,,,R
Department of Transportation,3400000,,H,Luetkemeyer,,,,,,,R
Environmental Protection Agency,3412455,,H,DeLauro,,,,,,,D
Environmental Protection Agency,3437000,,H,Butterfield,,,,,,,D
Environmental Protection Agency,3500000,,H,Costa,,,,,,,D
Environmental Protection Agency,3500000,,H,Barr,,,,,,,R
Environmental Protection Agency,3500000,,H,Slotkin,,,,,,,D
Environmental Protection Agency,3500000,,H,Walberg,,,,,,,R
Environmental Protection Agency,3500000,,H,Bacon,,,,,,,R
Environmental Protection Agency,3500000,,H,Cartwright,,,,,,,D
Environmental Protection Agency,3500000,,H,Underwood,,,,,,,D
Environmental Protection Agency,3500000,,H,Slotkin,,,,,,,D
Environmental Protection Agency,3500000,,H,Long,,,,,,,R
Environmental Protection Agency,3500000,,H,Wenstrup,,,,,,,R
Environmental Protection Agency,3500000,,H,Fleischmann,,,,,,,R
Environmental Protection Agency,3500000,,H,Vela,,,,,,,D
Department of Transportation,3500000,,H,LaHood,,,,,,,R
Department of Transportation,4000000,,H,Womack,,,,,,,R
Department of Transportation,4000000,,H,Dunn,,,,,,,R
Department of Transportation,4000000,,H,Napolitano,,,,,,,D
Department of Transportation,4000000,,H,Stewart,,,,,,,R
National Park Service,4124500,,H,Kirkpatrick,,,,,,,D
Department of Transportation,5000000,,H,Latta,,,,,,,R
Department of Transportation,5000000,,H,Allred,,,,,,,D
Department of Transportation,5000000,,H,Van Duyne,,,,,,,R
Department of Transportation,5000000,,H,Newhouse,,,,,,,R
Department of Transportation,5000000,,H,Calvert,,,,,,,R
Department of Transportation,5000000,,H,Loudermilk,,,,,,,R
Department of Transportation,5000000,,H,Hinson,,,,,,,R
Department of Transportation,5000000,,H,Bost,,,,,,,R
Department of Transportation,5000000,,H,Barr,,,,,,,R
Department of Transportation,5000000,,H,Scalise,,,,,,,R
Department of Transportation,5000000,,H,Letlow,,,,,,,R
Department of Transportation,5000000,,H,Brown,,,,,,,D
Department of Transportation,5000000,,H,Bacon,,,,,,,R
Department of Transportation,5000000,,H,Chabot,,,,,,,R
Department of Transportation,5000000,,H,Cole,,,,,,,R
Department of Transportation,5000000,,H,Cole,,,,,,,R
Department of Transportation,5000000,,H,Cuellar,,,,,,,D
Air NG,6500000,,H,Simpson,,,,,,,R
Navy,7000000,,H,Rutherford,,,,,,,R
Department of Labor,500000,,H,Brown,,,,,,,D
Department of Labor,1200000,,H,Gallego,,,,,,,D
Department of Labor,1000000,,H,Omar,,,,,,,D
Department of Labor,500000,,H,Keating,,,,,,,D
Department of Labor,2000000,,H,Wasserman Schultz,,,,,,,D
Department of Labor,2000000,,H,Matsui,,,,,,,D
Department of Labor,350000,,H,Cicilline,,,,,,,D
Department of Labor,1600000,,H,Manning,,,,,,,D
Department of Labor,1000000,,H,Takano,,,,,,,D
Department of Labor,250000,,H,Roybal-Allard,,,,,,,D
Department of Labor,100000,,H,Simpson,,,,,,,R
Department of Labor,900000,,H,Schneider,,,,,,,D
Department of Labor,200000,,H,Suozzi,,,,,,,D
Department of Labor,100000,,H,Rush,,,,,,,D
Department of Labor,1500000,,H,Sewell,,,,,,,D
Department of Labor,1200000,,H,Kahele,,,,,,,D
Department of Labor,300000,,H,Deutch,,,,,,,D
Department of Labor,500000,,H,Norton,,,,,,,D
Department of Labor,250000,,H,Reed,,,,,,,R
Department of Labor,1000000,,H,Connolly,,,,,,,D
Department of Labor,1500000,,H,Steube,,,,,,,R
Department of Labor,250000,,H,Raskin,,,,,,,D
Department of Labor,150000,,H,Horsford,,,,,,,D
Department of Labor,250000,,H,Gibbs,,,,,,,R
Department of Labor,440000,,H,Barr,,,,,,,R
Department of Labor,300000,,H,Aguilar,,,,,,,D
Department of Labor,1000000,,H,Adams,,,,,,,D
Department of Labor,20000,,H,DeGette,,,,,,,D
Department of Labor,1000000,,H,Trone,,,,,,,D
Department of Labor,200000,,H,Morelle,,,,,,,D
Department of Labor,275000,,H,Jayapal,,,,,,,D
Department of Labor,325000,,H,Payne,,,,,,,D
Department of Labor,525000,,H,Titus,,,,,,,D
Department of Labor,350000,,H,Gomez,,,,,,,D
Department of Labor,250000,,H,Takano,,,,,,,D
Department of Labor,1000000,,H,Scanlon,,,,,,,D
Department of Labor,525000,,H,Scanlon,,,,,,,D
Department of Labor,600000,,H,Kildee,,,,,,,D
Department of Labor,2000000,,H,Brown,,,,,,,D
Department of Labor,425000,,H,Foster,,,,,,,D
Department of Labor,275000,,H,Lofgren,,,,,,,D
Department of Labor,775000,,H,Demings,,,,,,,D
Department of Labor,500000,,H,Waters,,,,,,,D
Department of Labor,850000,,H,Tlaib,,,,,,,D
Department of Labor,1000000,,H,Lieu,,,,,,,D
Department of Labor,975000,,H,Case,,,,,,,D
Department of Labor,975000,,H,Foster,,,,,,,D
Department of Labor,450000,,H,Houlahan,,,,,,,D
Department of Labor,100000,,H,Houlahan,,,,,,,D
Department of Labor,1000000,,H,Bonamici,,,,,,,D
Department of Health & Human Services,150000,,H,Newman,,,,,,,D
Department of Health & Human Services,300000,,H,Quigley,,,,,,,D
Department of Health & Human Services,2000000,,H,Bush,,,,,,,D
Department of Health & Human Services,1000000,,H,Scanlon,,,,,,,D
Department of Health & Human Services,300000,,H,Walberg,,,,,,,R
Department of Health & Human Services,800000,,H,Long,,,,,,,R
Department of Health & Human Services,250000,,H,Bass,,,,,,,D
Department of Health & Human Services,1000000,,H,Crow,,,,,,,D
Department of Health & Human Services,150000,,H,Eshoo,,,,,,,D
Department of Health & Human Services,450000,,H,Griffith,,,,,,,R
Department of Health & Human Services,300000,,H,Guthrie,,,,,,,R
Department of Health & Human Services,320000,,H,Herrera Beutler,,,,,,,R
Department of Health & Human Services,1000000,,H,Lofgren,,,,,,,D
Department of Health & Human Services,1000000,,H,Lieu,,,,,,,D
Department of Health & Human Services,2000000,,H,Newhouse,,,,,,,R
Department of Health & Human Services,2000000,,H,Kinzinger,,,,,,,R
Department of Health & Human Services,1000000,,H,Ryan,,,,,,,D
Department of Health & Human Services,250000,,H,Guthrie,,,,,,,R
Department of Health & Human Services,500000,,H,Fitzpatrick,,,,,,,R
Department of Health & Human Services,1000000,,H,Huffman,,,,,,,D
Department of Health & Human Services,1150000,,H,Adams,,,,,,,D
Department of Health & Human Services,200000,,H,Adams,,,,,,,D
Department of Health & Human Services,725000,,H,Aderholt,,,,,,,R
Department of Health & Human Services,2000000,,H,Gottheimer,,,,,,,D
Department of Health & Human Services,1000000,,H,Bush,,,,,,,D
Department of Health & Human Services,1000000,,H,DeGette,,,,,,,D
Department of Health & Human Services,925000,,H,Escobar,,,,,,,D
Department of Health & Human Services,975000,,H,McGovern,,,,,,,D
Department of Health & Human Services,1000000,,H,Wenstrup,,,,,,,R
Department of Health & Human Services,1600000,,H,Schiff,,,,,,,D
Department of Health & Human Services,400000,,H,Fitzgerald,,,,,,,R
Department of Health & Human Services,2000000,,H,Norton,,,,,,,D
Department of Health & Human Services,20000,,H,Rush,,,,,,,D
Department of Health & Human Services,350000,,H,Cohen,,,,,,,D
Department of Health & Human Services,500000,,H,Schrier,,,,,,,D
Department of Health & Human Services,100000,,H,Omar,,,,,,,D
Department of Health & Human Services,450000,,H,Napolitano,,,,,,,D
Department of Health & Human Services,700000,,H,Calvert,,,,,,,R
Department of Health & Human Services,2000000,,H,Pallone,,,,,,,D
Department of Health & Human Services,100000,,H,McKinley,,,,,,,R
Department of Health & Human Services,1000000,,H,Barr,,,,,,,R
Department of Health & Human Services,185000,,H,Grijalva,,,,,,,D
Department of Health & Human Services,1000000,,H,Ruiz,,,,,,,D
Department of Health & Human Services,500000,,H,Beatty,,,,,,,D
Department of Health & Human Services,1200000,,H,Sablan,,,,,,,D
Department of Health & Human Services,400000,,H,Garamendi,,,,,,,D
Department of Health & Human Services,500000,,H,Casten,,,,,,,D
Department of Health & Human Services,700000,,H,Pappas,,,,,,,D
Department of Health & Human Services,2000000,,H,Bilirakis,,,,,,,R
Department of Health & Human Services,250000,,H,Bost,,,,,,,R
Department of Health & Human Services,500000,,H,Norcross,,,,,,,D
Department of Health & Human Services,1050000,,H,Foster,,,,,,,D
Department of Health & Human Services,375000,,H,Wexton,,,,,,,D
Department of Health & Human Services,800000,,H,Beyer,,,,,,,D
Department of Health & Human Services,800000,,H,Connolly,,,,,,,D
Department of Health & Human Services,1000000,,H,Khanna,,,,,,,D
Department of Health & Human Services,2000000,,H,Cartwright,,,,,,,D
Department of Health & Human Services,550000,,H,Courtney,,,,,,,D
Department of Health & Human Services,275000,,H,Blunt Rochester,,,,,,,D
Department of Health & Human Services,750000,,H,Balderson,,,,,,,R
Department of Health & Human Services,1050000,,H,Panetta,,,,,,,D
Department of Health & Human Services,100000,,H,Fitzpatrick,,,,,,,R
Department of Health & Human Services,200000,,H,Long,,,,,,,R
Department of Health & Human Services,2000000,,H,Buchanan,,,,,,,R
