,license_no,name,address,city,state,zip,expires,wc_carrier,wc_exp_date,bond_issuer,bond_eff_date,bond_issuer_clean
633,TA000233216,"OC MODELING, LLC","22024 LASSEN ST., UNIT #114",CHATSWORTH,CA,91311,2021-01-21,NAN,,NAN,,NOT LISTED
634,TA000233260,"NATURALLY FIT, LLC",7080 HOLLYWOOD BLVD. STE. 1100,LOS ANGELES,CA,90028,2020-09-29,NAN,,GREAT AMERICAN INSURANCE COMPANY,2018-10-14,GREAT AMERICAN INSURANCE
635,TA000233332,"BIGG TIME ENTERTAINMENT, INC.","14320 VENTURA BLVD., STE. 457",SHERMAN OAKS,CA,91423,2020-02-16,NAN,,HARTFORD FIRE INSURANCE,2008-03-14,HARTFORD
636,TA000233337,"SAL REYES  DBA OTTO MODELS, TALENT AGENCY",2901 W. COAST HWY. #350,NEWPORT BEACH,CA,92663,2020-01-05,STATE FUND,2019-07-01,HARTFORD,2018-01-06,HARTFORD
637,TA000233337,"SAL REYES  DBA OTTO MODELS, TALENT AGENCY",2901 W. COAST HWY. #350,NEWPORT BEACH,CA,92663,2021-01-05,STATE FUND,2020-07-01,HARTFORD,2020-01-06,HARTFORD
639,TA000233360,OSBRINK TALENT AGENCY INC  DBA OSBRINK TALENT AGEN,2222 W. OLIVE AVENUE,BURBANK,CA,91506,2020-01-07,ALLIANZ GLOBAL CORP & SPECIALTY,2019-05-10,THE HARTFORD FIRE INSURANCE,2019-09-16,HARTFORD
641,TA000233374,VIRGILIO GUILLEN  DBA MIRAMAR TALENT AGENCY,9415 CULVER BLVD.,CULVER CITY,CA,90232,2020-11-22,NAN,,OLD REPUBLIC SURETY COMPANY,2012-11-16,OLD REPUBLIC
642,TA000233378,"THE INDUSTRY GROUP USA, LLC  DBA INDUSTRY MODEL MA",469 S. ROBERTSON BOULEVARD,BEVERLY HILLS,CA,90211,2020-09-04,FEDERAL INSURANCE COMPANY,2019-12-16,NORTH AMERICAN SPECIALTY INSURANCE COMPANY,2017-09-18,NORTH AMERICAN SPECIALTY INSURANCE
643,TA000233379,"DANIEL HOFF AGENCY, INC.","5455 WILSHIRE BLVD, SUITE 1100",LOS ANGELES,CA,90036,2019-12-21,NAN,,THE HARTFORD FIRE INSURANCE,2006-03-30,HARTFORD
644,TA000233379,"DANIEL HOFF AGENCY, INC.","5455 WILSHIRE BLVD, SUITE 1100",LOS ANGELES,CA,90036,2020-12-21,STATE FUND,2020-02-01,SURETY1,2019-10-16,SURETY 1
645,TA000233393,"THE HOUSE OF REPRESENTATIVES, A TALENT AGENCY INC.","3118 WILSHIRE BOULEVARD, UNIT D",SANTA MONICA,CA,90403,2020-12-07,NAN,,CNA SURETY,2018-07-10,CNA SURETY
646,TA000233458,PHILLIP L. BROCK  DBA STUDIO TALENT GROUP,"1328 12TH STREET, STE. #2 AND #3",SANTA MONICA,CA,90401,2019-12-24,NAN,,STATE FARM FIRE CASUALTY AND INSURANCE CO.,2006-10-24,STATE FARM
647,TA000233458,PHILLIP L. BROCK  DBA STUDIO TALENT GROUP,"1328 12TH STREET, STE. #2 AND #3",SANTA MONICA,CA,90401,2020-12-24,NAN,,STATE FARM,2019-11-05,STATE FARM
649,TA000233542,"SDB PARTNERS, INC.","315 SOUTH BEVERLY DR., STE. 411",BEVERLY HILLS,CA,90212,2020-02-27,STATE FARM FIRE AND CASUALTY COMPANY,2020-04-01,THE HARTFORD FIRE INSURANCE,2006-02-24,HARTFORD
654,TA000233734,BRAD GELFOND  DBA STRIKE UP THE BRAND,2034 KERWOOD AVENUE,LOS ANGELES,CA,90025,2020-07-01,NAN,,SURETYBONDS.C,2018-10-24,SURETYBONDS.C
657,TA000233784,HARVEY LANCE MCMILLAN  DBA UNLIMITED ENTERTAINMENT,1055 WEST 7TH ST. 33RD FLOOR 111 PENTHOUSE,LOS ANGELES,CA,90017,2020-01-01,NAN,,THE HARTFORD FIRE INSURANCE,2006-10-23,HARTFORD
658,TA000233784,HARVEY LANCE MCMILLAN  DBA UNLIMITED ENTERTAINMENT,1055 WEST 7TH ST. 33RD FLOOR 111 PENTHOUSE,LOS ANGELES,CA,90017,2021-01-01,NAN,,SURETY1,2019-12-31,SURETY 1
659,TA000233850,WILLIAM WHITFIELD AND LAWRENCE ABRAMSON,332 S BEVERLY DR,BEVERLY HIILS,CA,90212,2020-03-10,NAN,,SURETEC,2018-09-24,SURETEC
660,TA000233939,MITCHELL K. STUBBS & ASSOCIATES,"8695 WEST WASHINGTON BLVD., STE. 204",CULVER CITY,CA,90232,2019-12-13,NAN,,HARTFORD FIRE,2018-07-16,HARTFORD
661,TA000233939,MITCHELL K. STUBBS & ASSOCIATES,"8695 WEST WASHINGTON BLVD., STE. 204",CULVER CITY,CA,90232,2020-12-13,NEW YORK MARI,2020-07-16,THE HARTFORD,2019-07-16,HARTFORD
664,TA000234191,"SPIEGLER GIRLS, INC.","22020 CLARENDON STREET, #300",WOODLAND HILLS,CA,91367,2020-11-07,NAN,,PHILADELPHIA INDEMNITY INSURANCE COMPANY,2019-09-16,PHILADELPHIA INDEMNITY INSURANCE
665,TA000234373,SOMETHING LLC,2227 MANDEVILLE CANYON RD,LOS ANGELES,CA,90049,2020-01-20,ACCORD,2019-05-15,HARTFORD FIRE,2017-12-01,HARTFORD
666,TA000234462,"WORLDWIDE PRODUCTION AGENCY, LLC","144 N. ROBERTSON BLVD., STE. A",WEST HOLLYWOOD,CA,90048,2020-11-24,NEW YORK MARINE AND GENERAL INSURANCE COMPANY,2020-05-12,WESTERN SURETY COMPANY,2014-05-12,WESTERN SURETY
669,TA000234541,"BRATTY MODEL, LLC","210 POST ST., STE. 1102",SAN FRANCISCO,CA,94108,2020-01-20,NAN,,WESTERN SURETY COMPANY,2013-11-18,WESTERN SURETY
670,TA000234552,"THE WEISS AGENCY, INC.",14954 CORONA DEL MAR,PACIFIC PALISADES,CA,90272,2020-02-03,STATE FUND,2020-09-01,WELLS FARGO,2010-02-23,WELLS FARGO
671,TA000234578,COLLEEN CLER AGENCY,178 S. VICTORY BLVD. STE. 108,BURBANK,CA,91502,2020-01-09,STATE FUND,2020-03-01,SURETY1,2018-11-16,SURETY 1
672,TA000234617,"GM & D, INC.  DBA TGMD TALENT AGENCY",6767 FOREST LAWN DR. #206,LOS ANGELES,CA,90068,2020-07-25,PREFERRED EMPLOYERS INS. CO,2020-04-28,LIBERTY MUTUAL,2006-01-01,LIBERTY MUTUAL
673,TA000234642,"MONTEIRO ROSE DRAVIS AGENCY, INC.  DBA THE DRAVIS ","4370 TUJUNGA AVE., #145",STUDIO CITY,CA,91604,2019-12-15,MID CENTURY I,2019-01-30,AMERICAN CONTRACTORS INDEMNITY,2018-08-08,AMERICAN CONTRACTORS INDEMNITY
674,TA000234642,"MONTEIRO ROSE DRAVIS AGENCY, INC.  DBA THE DRAVIS ","4370 TUJUNGA AVE., #145",STUDIO CITY,CA,91604,2020-12-15,MID CENTURY I,2020-01-30,AMERICAN CONT,2020-08-08,AMERICAN CONT
676,TA000234777,THEODOSIA SHOR & LORI BREVIG  DBA NBS ENTERTAINMEN,"1230 CALLE SUERTE, SUITE A",CAMARILLO,CA,93012,2019-12-21,NAN,,TRAVELERS INS,2019-09-08,TRAVELERS INS
677,TA000234777,THEODOSIA SHOR & LORI BREVIG  DBA NBS ENTERTAINMEN,"1230 CALLE SUERTE, SUITE A",CAMARILLO,CA,93012,2020-12-21,NAN,,TRAVELERS,2019-10-09,TRAVELERS
682,TA000235247,"CONCEPT TALENT GROUP, LLC  DBA CONCEPT TALENT GROU",193 N. ROBERTSON BLVD.,BEVERLY HILLS,CA,90211,2020-09-18,NAN,,WESTERN,2017-11-27,WESTERN SURETY
684,TA000235889,DEBORAH LYNN PALMER BEAL  DBA BEAL TALENT & ASSOCI,5850 CANOGA AVENUE 4TH FLOOR,WOODLAND HILLS,CA,91367,2020-06-14,NAN,,SURETY1,2019-01-31,SURETY 1
688,TA000236306,"IMPERIUM 7, LLC","5455 WILSHIRE BLVD., SUITE 1706",LOS ANGELES,CA,90036,2020-01-16,STATE FUND,2019-09-01,THE HARTFORD FIRE INSURANCE,2018-02-20,HARTFORD
690,TA000236784,AMERICAN ARTISTS CORPORATION,"8500 WILSHIRE BOULEVARD, #525",BEVERLY HILLS,CA,90211,2020-01-28,PROPERTY AND CASUALTY INSURANCE CO. OF HARTFORD,2019-12-01,AMERICAN CONTRACTORS INDEMNITY COMPANY,2018-08-05,AMERICAN CONTRACTORS INDEMNITY
691,TA000236784,AMERICAN ARTISTS CORPORATION,"8500 WILSHIRE BOULEVARD, #525",BEVERLY HILLS,CA,90211,2021-01-28,PROPERTY AND CASUALTY INSURANCE COMPANY OF HARTFOR,2020-12-01,AMERICAN CONTRACTORS INDEMNITY COMPANY,2019-08-05,AMERICAN CONTRACTORS INDEMNITY
693,TA000237028,"ALVARADO REY AGENCY, INC.","7906 SANTA MONICA BLVD., #205",WEST HOLLYWOOD,CA,90046,2020-02-20,STATE FUND,2019-09-14,SURETY1,2018-08-20,SURETY 1
695,TA000237311,JEFFREY W. MAYES  DBA M TALENT,"4335 VAN NUYS BLVD., SUITE 449",SHERMAN OAKS,CA,91403,2019-12-28,NAN,,AMERICAN CONTRACTORS INMENITY,2017-04-14,AMERICAN CONTRACTORS INMENITY
697,TA000237593,"KEN LINDNER & ASSOCIATES, INC.","1901 AVENUE OF THE STARS, SUITE 1010",LOS ANGELES,CA,90067,2020-03-30,HARTFORD ACCIDENT & INDEMNITY CO.,2020-06-01,OLD REPUBLIC,2019-03-31,OLD REPUBLIC
700,TA000238050,TWOLA HEADS ENTERTAINMENT GROUP,7719 SOMERSET BLVD.,PARAMOUNT,CA,90723,2020-01-04,NAN,,CNA SURETY,2020-02-10,CNA SURETY
703,TA000238523,"O MODELS, INC.","145 SOUTH FAIRFAX AVE., STE. 200",LOS ANGELES,CA,91602,2020-05-20,STATE FUND,2019-11-02,HARTFORD,2017-01-01,HARTFORD
704,TA000238732,STEPHEN JOHN VIEIRA  DBA SJV ENTERPRISES & ASSOCIA,4025 BEETHOVEN STREET,MAR VISTA,CA,90066,2020-06-28,NAN,,SURETY1,2019-02-08,SURETY 1
706,TA000238754,INNOVATIVE ARTISTS BROADCAST DIVISION LLC,1505 10TH STREET,SANTA MONICA,CA,90401,2020-03-12,EVEREST NAT'L,2019-07-01,HARTFORD,2018-03-24,HARTFORD
707,TA000238817,"BELL TALENT, INC.",40992 CALLE PUEBLO,INDIO,CA,92203,2020-02-14,NAN,,SURETY1,2018-04-16,SURETY 1
709,TA000238904,GERMAN E. MORALES  DBA MGMT ARTISTS,"1201 W 5TH ST., SUITE 180",LOS ANGELES,CA,90017,2020-11-19,NAN,,HARTFORD,2015-06-09,HARTFORD
713,TA000239514,STATUSSILVER LLC,465 E TUJUNGA AVE #2,BURBANK,CA,91501,2020-01-02,NAN,,PHILDELPHIA INDEMNITY INSURANCE COMPANY,2017-04-01,PHILDELPHIA INDEMNITY INSURANCE
714,TA000239514,STATUSSILVER LLC,465 E TUJUNGA AVE #2,BURBANK,CA,91501,2021-01-02,NAN,,PHILADELPHIA INDEMNITY INSURANCE COMPANY,2017-04-01,PHILADELPHIA INDEMNITY INSURANCE
715,TA000239613,"STARS, THE AGENCY","23 GRANT AVENUE, 4TH FLOOR",SAN FRANCISCO,CA,94108,2020-05-19,REPUBLIC,2020-05-16,THE FIDELITY AND DEPOSIT COMPANY OF MARYLAND,2016-05-10,FIDELITY AND DEPOSIT OF MARYLAND
716,TA000239844,DOMINA TALENT AGENCY LLC  DBA DTA,"30700 RUSSELL RANCH ROAD, SUITE 250",WESTLAKE VILLAGE,CA,91362,2020-03-20,NAN,,SURETY BOND,2019-02-27,SURETY BOND
717,TA000239959,MEDIA ARTISTS GROUP,"8222 MELROSE AVE., SUITE 304",LOS ANGELES,CA,90046,2020-09-20,NAN,,STATE FARM,2018-09-20,STATE FARM
721,TA000240262,"TEC PRODUCTIONS, INC.",344 TULLY ROAD,SAN JOSE,CA,95111,2020-02-24,GREAT DIVIDE INSURANCE COMPANY,2020-02-06,THE HARTFORD FIRE INSURANCE,2017-01-20,HARTFORD
726,TA000240515,BRANT ROSE  DBA BRANT ROSE AGENCY,"6671 SUNSET BLVD., SUITE 1584B",LOS ANGELES,CA,90028,2020-04-03,OHIO SECURITY,2019-08-16,THE HARTFORD FIRE,2015-07-14,HARTFORD
728,TA000240781,"NU TALENT AGENCY, INC.",117 N ROBERTSON BLVD,LOS ANGELES,CA,90048,2020-04-06,NAN,,THE HARTFORD,2019-01-02,HARTFORD
730,TA000240918,MMV LLC,4221 WILSHIRE BLVD SUITE 290-3,LOS ANGELES,CA,90010,2020-03-12,NAN,,THE HANOVER INSURANCE COMPANY,2018-06-24,HANOVER
731,TA000241020,THE JACKSON AGENCY LLC,"1901 AVENUE OF THE STARS, SECOND FLOOR",CENTURY CITY,CA,90067,2020-03-02,NAN,,ABSOLUTE SURE,2019-03-20,ABSOLUTE SURE
734,TA000241335,DIZON LLC,"353 SACRAMENTO STREET, 18TH FLOOR",SAN FRANCISCO,CA,94111,2020-03-02,NAN,,AEGIS,2018-04-26,AEGIS
738,TA000241822,STARS MODEL MANAGEMENT,"23 GRANT AVENUE, 4TH FLOOR",SAN FRANCISCO,CA,94108,2020-06-15,NAN,,THE FIDELITY AND DEPOSIT COMPANY OF MARYLAND,2011-09-02,FIDELITY AND DEPOSIT OF MARYLAND
740,TA000241849,SAN DIEGO MODEL MANAGEMENT TALENT AGENCY,438 CAMINO DEL RIO S. #116,SAN DIEGO,CA,92108,2020-04-18,STATE FUND,2020-09-05,HARTFORD FIRE INSURANCE,2006-05-18,HARTFORD
741,TA000242026,"THE SARNOFF COMPANY, INC.","1600 ROSECRANS AVE., BLDG 1A, 2ND FLR, STE 203-204",MANHATTAN BEACH,CA,90266,2020-03-19,NAN,,THE HARTFORD FIRE INSURANCE,2019-03-25,HARTFORD
742,TA000242127,MARY ELIZABETH DANGERFIELD  DBA DANGERFIELD TALENT,13500 VENTURA BLVD.,SHERMAN OAKS,CA,91423,2020-05-21,NAN,,THE GRAY CASUALTY & SURETY COMPANY,2018-04-27,GRAY CASUALTY & SURETY
744,TA000242336,"SHORTLIST MODEL AND TALENT AGENCY, LLC","100 SHORELINE HIGHWAY, BUILDING B, SUITE 100",MILL VALLEY,CA,94941,2020-02-23,NAN,,WESTERNSURETY,2017-03-27,WESTERN SURETY
746,TA000242523,"AMERICAN MODELS & ACTORS, LLC","2900 SOUTH HARBOR BLVD., #230",SANTA ANA,CA,92704,2020-06-02,NAN,,THE GRAY CASUALTY & SURETY COMPANY,2018-03-16,GRAY CASUALTY & SURETY
747,TA000242756,"25 LIVE, LLC",25 MUSIC SQUARE WEST,NASHVILLE,TN,37203,2020-12-08,TWIN CITY FIR,2020-03-01,SURETEC INSURANCE COMPANY,2017-01-08,SURETEC INSURANCE
749,TA000242859,THE LIONS MODEL MANAGEMENT LLC,9130 WEST SUNSET BLVD.,LOS ANGELES,CA,90069,2020-03-14,AMERICAN HOME ASURANCE CO.,2020-07-01,AMERICAN CONTRACTORS INDEMNITY COMPANY,2017-03-28,AMERICAN CONTRACTORS INDEMNITY
751,TA000243375,ANNETTE VAN DUREN,3810 WILSHIRE BOULEVARD #1906,LOS ANGELES,CA,90010,2020-05-13,NAN,,CITY NATIONAL BANK,2005-06-10,CITY NATIONAL BANK
752,TA000243474,"THE LIBRARY AGENCY, LLC","5900 SEPULVEDA BOULEVARD, #580",SHERMAN OAKS,CA,91411,2020-03-16,STATE FUND,2019-08-25,ACIC,2019-06-28,ACIC
754,TA000243920,PRINCIPAL ENTERTAINMENT LOS ANGELES LLC,"9255 W. SUNSET BLVD., #500",LOS ANGELES,CA,90069,2020-03-18,PAYCHEX,2019-05-01,TOKIO MARINE,2019-01-22,TOKIO MARINE
755,TA000244019,RASHON VELMONT  DBA VELMONT TALENT AGENCY,"305 E 9TH ST., #300",LOS ANGELES,CA,90015,2020-11-16,NAN,,THE HARTFORD,2018-04-21,HARTFORD
756,TA000244243,"DISRUPT THE GAME, LLC",332 S. PECK DR.,BEVERLY HILLS,CA,90212,2020-03-28,NAN,,NFP PROPERTY,2013-06-05,NFP PROPERTY
757,TA000244273,"PRODUCTIONS PLUS, INC.  DBA PRODUCTIONS PLUS - THE","909 ELECTRIC AVE., STE. 204 & 205",SEAL BEACH,CA,90740,2020-01-14,NAN,,WESTERN SURETY COMPANY,2006-10-19,WESTERN SURETY
758,TA000244607,MARTONE MGMT INC,3324 1/2 BELLEVUE AVE,LOS ANGELES,CA,90026,2020-01-19,NAN,,SURETY1,2018-02-01,SURETY 1
759,TA000244889,GRACE MARIAN CHAN  DBA GRACE MODEL MANAGEMENT,12400 VENTURA BLVD #421,STUDIO CITY,CA,91401,2020-05-03,NAN,,INTL SURETIES,2018-07-29,INTL SURETIES
762,TA000245293,"BILL HOLLINGSHEAD PRODUCTIONS, INC.",1010 ANDERSON RD.,DAVIS,CA,95616,2020-06-26,NAN,,THE GRAY CASUALTY & SURETY COMPANY,2018-03-23,GRAY CASUALTY & SURETY
769,TA000246108,"IMG MODELS LA, LLC","700 N. SAN VICENTE BLVD, SUITE G-600, SIXTH FLOOR",LOS ANGELES,CA,90069,2020-01-09,FIREMAN'S FUN,2019-08-10,ARGONAUT,2017-01-11,ARGONAUT
771,TA000246218,DECAYETTE TALENT AGENCY LLC,"260 SOUTH BEVERLY DRIVE, SUITE 205",BEVERLY HILLS,CA,90212,2020-05-01,NAN,,WESTERN,2019-05-01,WESTERN SURETY
773,TA000246496,"MIX MODELS, INC.",2660 TOWNSGATE ROAD SUITE 400,WESTLAKE VILLAGE,CA,91361,2020-04-26,NAN,,GREY CASUALTY,2019-04-27,GREY CASUALTY
775,TA000248324,"LIMELIGHT TALENT, INC.","8149 SANTA MONICA BLVD., UNIT 287",LOS ANGELES,CA,90046,2020-02-12,NAN,,STATE FARM FIRE AND CASUALTY COMPANY,2013-12-27,STATE FARM
776,TA000248324,"LIMELIGHT TALENT, INC.","8149 SANTA MONICA BLVD., UNIT 287",LOS ANGELES,CA,90046,2021-02-12,NAN,,STATE FARM,2013-12-27,STATE FARM
777,TA000248483,"HYPERION TALENT AGENCY, LLC","8383 WILSHIRE BLVD., SUITE 702",BEVERLY HILLS,CA,90211,2020-06-08,SEQUOIA INSUR,2019-09-01,WESTERN SURET,2017-06-30,WESTERN SURETY
778,TA000248557,"SKAM ARTIST, INC.",1616 VISTA DEL MAR ST,LOS ANGELES,CA,90028,2020-09-14,NY MARINE GEN,2019-10-10,THE HARTFORD FIRE INSURANCE,2007-11-19,HARTFORD
779,TA000248752,ROBERTSON/TAYLOR AGENCY LLC,"11500 W. OLYMPIC BLVD., STE. 400",LOS ANGELES,CA,90064,2020-02-26,NAN,,PHILADELPHIA,2018-06-15,PHILADELPHIA
781,TA000249006,"AMT ARTISTS, INC.","15260 VENTURA BLVD., #1200",SHERMAN OAKS,CA,91403,2020-06-17,AMGUARD INSURANCE COMPANY,2019-12-01,WESTERN SURETY COMPANY,2014-01-01,WESTERN SURETY
783,TA000249067,MICHAEL JAMES WALLACH  DBA MICHAEL WALLACH MANAGEM,"908 GRANVILLE AVENUE, SUITE 300",LOS ANGELES,CA,90049,2020-09-17,NAN,,STATE FARM,2019-01-04,STATE FARM
784,TA000249233,PANACHE BOOKING LLC,4516 1/2 EAGLE ROCK BLVD,LOS ANGELES,CA,90041,2020-11-30,AP INTEGO,2020-02-05,WESTERN SURET,2017-06-13,WESTERN SURETY
785,TA000249274,"JENNIFER POWELL, INC.","16000 VENTURA BOULEVARD, #900",ENCINO,CA,91436,2020-02-13,HARTFORD INSURANCE COMPANY OF THE MIDWEST,2020-02-01,INTERNATIONAL FIDELITY,2019-03-26,INTERNATIONAL FIDELITY
786,TA000249529,"THE VIP CONNECT, INC.",15206 VENTURA BLVD. #210,SHERMAN OAKS,CA,91403,2020-09-13,NAN,,UNITED CASUAL,2018-12-20,UNITED CASUAL
787,TA000249631,PRESTIGIOUS MODELS INC  DBA IMAGE POWERHOUSE AGENC,11101 CONDOR AVENUE,FOUNTAIN VALLEY,CA,92708,2020-05-29,NAN,,INTERNATIONAL,2019-03-01,INTERNATIONAL
789,TA000249935,"ACTIVITY, INC.","4705 LAUREL CANYON BLVD., STE. 203",STUDIO CITY,CA,91607,2020-06-12,AMTRUST,2020-01-15,SURETY 1,2019-03-07,SURETY 1
795,TA000250535,FOLKLORE INC. A/K/A FLI ARTISTS  DBA FLI ARTISTS,11321 IOWA AVENUE SUITE#6,LOS ANGELES,CA,90025,2020-04-04,NAN,,WESTERN SURET,2018-05-24,WESTERN SURETY
796,TA000250730,SOLID TALENT INC.,"11012 VENTURA BOULEVARD, UNIT G",STUDIO CITY,CA,91604,2020-05-28,STATE FUND,2020-09-01,WESTERN SURET,2018-12-11,WESTERN SURETY
799,TA000250981,"UNITED TALENT AGENCY, LLC",9336-46 CIVIC CENTER DRIVE,BEVERLY HILL,CA,90210,2020-07-31,NAN,,VIGILANT INSURANCE COMPANY,2018-03-18,VIGILANT INSURANCE
800,TA000251112,ROBERT EMMANUEL DEPPE  DBA BEVERLY HECHT AGENCY,"12100 WILSHIRE BLVD., SUITE 800",LOS ANGELES,CA,90025,2020-09-07,NAN,,AEGIS,2019-04-30,AEGIS
801,TA000251390,AYINDE BANJOKO  DBA BLUE STEEL,515 13TH STREET,MODESTO,CA,95355,2020-07-07,NAN,,SURETY BONDS,2019-04-01,SURETY BONDS
802,TA000251549,INNOVATIVE ARTISTS COMEDY DIVISION LLC,1505 10TH ST,SANTA MONICA,CA,90401,2020-07-26,EVEREST NAT'L,2019-07-01,THE HARTFORD,2017-09-22,HARTFORD
803,TA000251771,CLOSEUP MODELS AND TALENT LLC,"5455 WILSHIRE BLVD, SUITE 2020",LOS ANGELES,CA,90036,2020-07-06,NAN,,THE HANOVER,2018-12-01,HANOVER
804,TA000251810,"WORLD PREMIER AGENCY, LLC",1015 12TH ST. SUITE 10,MODESTO,CA,95354,2020-07-21,NAN,,THE HARTFORD FIRE INSURANCE COMPANY,2015-08-21,HARTFORD
807,TA000252177,"BMG TALENT GROUP, INC.","5455 WILSHIRE BOULEVARD, SUITE 900",LOS ANGELES,CA,90036,2020-10-17,WESCO INS.,2019-12-01,THE HARTFORD,2019-12-01,HARTFORD
809,TA000252841,TABITHA KIT JOHNSON  DBA KIT INTERNATIONAL TALENT,201 RIVERSIDE AVE #1,ROSEVILLE,CA,95678,2020-08-22,NAN,,PHILADELPHIA,2017-08-23,PHILADELPHIA
810,TA000252945,"NEWMARK MODELS, INC.",5700 MELROSE AVE #201,LOS ANGELES,CA,90038,2020-09-19,HISCOX,2020-07-30,TOKIO MARINE,2019-10-11,TOKIO MARINE
811,TA000252947,"NATURAL TALENT, INC.","20265 VENTURA BLVD., #D",WOODLAND HILLS,CA,91364,2020-10-28,NAN,,PLATTE RIVER,2019-10-06,PLATTE RIVER
813,TA000253255,INNOVATIVE ARTISTS,1505 10TH STREET,SANTA MONICA,CA,90401,2020-08-19,EVEREST NAT'L,2020-07-01,HARTFORD,2017-10-01,HARTFORD
815,TA000253399,ANGEL HOWANSKY  DBA EURE ENTERTAINMENT AGENCY,40942 RISE CT,PALMDALE,CA,93551,2020-05-30,NAN,,WESTERN SURETY COMPANY,2018-08-01,WESTERN SURETY
816,TA000253493,THE BLACKWELL FILES LLC,"3178 17TH STREET, STUDIO 3",SAN FRANCISCO,CA,94110,2020-10-04,RLI SURETY,2020-03-08,RLI INSURANCE COMPANY,2016-03-16,RLI INSURANCE
820,TA000254669,EVOLVED TALENT AGENCY LLC,"1801 CENTURY PARK EAST, FL 25",LOS ANGELES,CA,90067,2020-09-21,AP INTEGO,2020-03-01,ACIC,2018-09-18,ACIC
821,TA000254695,LISA CHRISTENSEN  DBA THE LIVINGSTON AGENCY,730 ARIZONA AVE.,SANTA MONICA,CA,90401,2020-07-27,NAN,,HANOVER,2018-09-18,HANOVER
823,TA000255021,"90210 TALENT, INC.","16430 VENTURA BLVD., STE. 200",ENCINO,CA,91436,2020-05-26,NAN,,THE HARTFORD FIRE INSURANCE COMPANY,2015-08-01,HARTFORD
826,TA000255550,"BRANDON LOUIS MANAGEMENT, LLC",915 N. LA BREA AVE #641,WEST HOLLYWOOD,CA,90038,2020-08-28,NAN,,WESTERN SURETY,2019-07-24,WESTERN SURETY
827,TA000255819,"BETH BOHN MANAGEMENT, INC.",2420 LAKE VIEW AVENUE,LOS ANGELES,CA,90039,2020-11-06,NAN,,OLD REPUBLIC,2017-11-21,OLD REPUBLIC
828,TA000255836,"INNOVATIVE ARTISTS COMMERCIAL AND VOICEOVER, INC.",1505 10TH ST,SANTA MONICA,CA,90401,2020-09-20,EVEREST NAT'L,2020-07-01,HARTFORD,2017-10-01,HARTFORD
830,TA000256160,"REFRESH TALENT AGENCY, INC.",24632 LA PLATA,LAGUNA NIGUEL,CA,92677,2020-05-23,NAN,,LIBERTY MUTUAL,2019-05-29,LIBERTY MUTUAL
833,TA000256379,MARGAUX MODELS LLC  DBA MARGAUX MODELS,210 SANTA MONICA BLVD. #306,SANTA MONICA,CA,90401,2020-11-18,TECHNOLOGY INSURANCE CO.,2020-07-10,A1 SURETY BOND,2019-02-21,A1 SURETY BOND
837,TA000257295,"PACIFIC TALENT & MODELS, INC.","1600 ROSECRANS AVE., MEDIA CENTER, 4TH FLOOR",MANHATTAN BEACH,CA,90266,2020-04-24,NAN,,THE HANOVER INSURANCE,2018-07-05,HANOVER
839,TA000257620,"FLICK EAST & WEST TALENTS, INC.",9057 NEMO ST,WEST HOLLYWOOD,CA,90069,2020-07-28,SCIF,2019-09-01,SURETY1,2018-03-11,SURETY 1
840,TA000257647,"SHAMON FREITAS & COMPANY, INC.  DBA SHAMON FREITAS",3916 OREGON ST.,SAN DIEGO,CA,92104,2020-06-13,STATE FUND,2019-09-01,THE GRAY INSU,2018-07-10,GRAY INSU
842,TA000258346,BBA TALENT INC.,3500 W. OLIVE AVENUE SUITE 300,BURBANK,CA,91505,2019-12-29,TRAVELER'S,2019-06-06,THE SURETY CO,2018-08-05,SURETY CO
843,TA000258346,BBA TALENT INC.,3500 W. OLIVE AVENUE SUITE 300,BURBANK,CA,91505,2020-12-29,SEQUOIA INSUR,2020-06-06,SURETY 1,2019-08-05,SURETY 1
844,TA000258371,DEBBIE BRITT  DBA CORNERSTONE TALENT MANAGEMENT,16501 VENTURA BLVD. STE. 400,ENCINO,CA,91436,2020-05-23,NAN,,AEGIS,2018-11-15,AEGIS
849,TA000259176,"THE ACOUSTIC SPOT, LLC",228 S. CEDROS UNIT C,SOLANA BEACH,CA,92075,2019-12-21,VICTORY COMP,2019-12-07,ABSOLUTE LLC,2018-03-03,ABSOLUTE LLC
851,TA000259436,CARISSA MITCHELL  DBA MITCHELL & ASSOCIATES TALENT,"18356 OXNARD ST., #7",TARZANA,CA,91356,2020-06-08,NAN,,THE HARTFORD FIRE,2017-08-07,HARTFORD
852,TA000260062,"YUKA ENTERPRISES, LLC",642 N. ROBERTSON BLVD.,WEST HOLLYWOOD,CA,90069,2020-02-04,NAN,,WESTERN SURETY COMPANY,2017-09-19,WESTERN SURETY
854,TA000260089,"ADULT TALENT MANAGERS, LLC",22020 CLARENDON ST. #300,WOODLAND HILLS,CA,91367,2019-12-13,PAYCHEX,2019-03-01,SURE TEC,2017-04-01,SURE TEC
855,TA000260089,"ADULT TALENT MANAGERS, LLC",22020 CLARENDON ST. #300,WOODLAND HILLS,CA,91367,2020-12-13,TRAVELERS,2020-03-01,SURETEC,2017-04-01,SURETEC
857,TA000260301,"RSA TALENT MANAGEMENT, LLC",1000 N. REESE PLACE,BURBANK,CA,91506,2020-05-28,NAN,,WESTERN SURETY,2019-10-02,WESTERN SURETY
